      6    291         itext   idata
 Output of the Ioffe code for BSk

 NSCool Input Crust
   Rho        Press       nbar       [A_cell]    [A_ion]     [Z]
   39262229242379.859        8.9282988987226602E+031   2.3644250974700805E-002   1429.6840899500000        333.84104152999998        44.424263670000002     
   37392599278457.008        8.4380054367291285E+031   2.2518334261619810E-002   1432.8466288200000        322.88470532000002        44.653228769999998     
   35611999312816.195        7.9723941624887538E+031   2.1446032630114107E-002   1434.8270689599999        312.57524389000002        44.863672909999998     
   33916189821729.711        7.5300976177056082E+031   2.0424792981061052E-002   1435.6455403099999        302.86791013999999        45.056603670000001     
   32301133163552.105        7.1098952882061996E+031   1.9452183791486714E-002   1435.3241159100000        293.72143899999998        45.232980689999998     
   30762983965287.719        6.7106875897477386E+031   1.8525889325225444E-002   1433.8866719200000        285.09775396999999        45.393716740000002     
   29298079966940.684        6.3314742690786752E+031   1.7643704119262325E-002   1431.3587485700000        276.96170071000000        45.539678950000003     
   27902933301848.270        5.9713366068418420E+031   1.6803527732630788E-002   1427.7674125399999        269.28080470999998        45.671690230000003     
   26574222192236.445        5.6294228693414356E+031   1.6003359745362652E-002   1423.1411213700001        262.02505058000003        45.790530850000003     
   25308783040225.184        5.3049365164045654E+031   1.5241294995583477E-002   1417.5095900599999        255.16668063000000        45.896940010000002     
   24103602895452.555        4.9971267303777872E+031   1.4515519043412835E-002   1410.9036604000000        248.68001090000001        45.991617529999999     
   22955812281383.383        4.7052808854710663E+031   1.3824303850869366E-002   1403.3551733100001        242.54126298000000        46.075225539999998     
   21862678363222.270        4.4287186265654716E+031   1.3166003667494633E-002   1394.8968443900001        236.72841005000001        46.148390149999997     
   20821598441164.066        4.1667872719731632E+031   1.2539051111899650E-002   1385.5621431100001        231.22103601000001        46.211703069999999     
   19830093753489.586        3.9188582954594582E+031   1.1941953439904429E-002   1375.3851756900001        226.00020635999999        46.265723280000003     
   18885803574751.984        3.6843246792289126E+031   1.1373288990385170E-002   1364.4005719800000        221.04834983999999        46.310978589999998     
   17986479595001.891        3.4625989617750277E+031   1.0831703800366828E-002   1352.6433764599999        216.34914999000000        46.347967109999999     
   17129980566668.467        3.2531118327617973E+031   1.0315908381301741E-002   1340.1489435399999        211.88744560999999        46.377158809999997     
   16314267206350.920        3.0553111517661088E+031   9.8246746488588003E-003   1326.9528371700001        207.64913949000001        46.398996820000001     
   15537397339381.828        2.8686612890701136E+031   9.3568329989131439E-003   1313.0907350099999        203.62111465000001        46.413898820000000     
   14797521275601.740        2.6926427050877269E+031   8.9112695227744204E-003   1298.5983370300000        199.79115745999999        46.422258319999997     
   14092877405334.990        2.5267517007373071E+031   8.4869233550232577E-003   1283.5112787800001        196.14788707000000        46.424445839999997     
   13421788005080.943        2.3705002844393076E+031   8.0827841476411987E-003   1267.8650492199999        192.68069055999999        46.420810060000001     
   12782655242934.230        2.2234161127021879E+031   7.6978896644201884E-003   1251.6949131300000        189.37966349000001        46.411678899999998     
   12173957374223.076        2.0850424707157389E+031   7.3313234899239884E-003   1235.0358381200001        186.23555519000001        46.397360569999996     
   11594245118307.691        1.9549382672428961E+031   6.9822128475466550E-003   1217.9224262400000        183.23971850000001        46.378144480000003     
   11042138207912.086        1.8326780245977574E+031   6.6497265214730044E-003   1200.3888500300000        180.38406365000000        46.354302199999999     
   10516322102773.414        1.7178518498154412E+031   6.3330728775933369E-003   1182.4687931000001        177.66101577000001        46.326088290000001     
   10015544859784.203        1.6100653774322337E+031   6.0314979786603206E-003   1164.1953950300001        175.06347589999999        46.293741070000003     
   9538614152175.4316        1.5089396777519253E+031   5.7442837892003051E-003   1145.6012005900000        172.58478506000000        46.257483440000001     
   9084394430643.2676        1.4141111272125567E+031   5.4707464659050527E-003   1126.7181132000001        170.21869124000000        46.217523540000002     
   8651804219660.2549        1.3252312396040566E+031   5.2102347294333837E-003   1107.5773524799999        167.95931895000001        46.174055439999997     
   8239813542533.5762        1.2419664585223913E+031   4.9621283137460791E-003   1088.2094157700001        165.80114130999999        46.127259729999999     
   7847441469079.5957        1.1639979126688435E+031   4.7258364892819801E-003   1068.6440435899999        163.73895418999999        46.077304150000003     
   7473753780075.8047        1.0910211364868121E+031   4.5007966564590282E-003   1048.9101888099999        161.76785247000001        46.024344130000003     
   7117860742929.3379        1.0227457592399370E+031   4.2864730061514551E-003   1029.0359895100000        159.88320813999999        45.968523290000000     
   6778914993266.0361        9.5889516602670032E+030   4.0823552439537671E-003   1009.0487453100000        158.08065013000001        45.909973930000000     
   6456109517396.2246        8.9920613444313197E+030   3.8879573751940634E-003   988.97489705999999        156.35604561000000        45.848817500000003     
   6148675730853.5469        8.4342845068668986E+030   3.7028165478038698E-003   968.84000982999999        154.70548287000000        45.785165020000001     
   5855881648431.9492        7.9132450887108736E+030   3.5264919502893993E-003   948.66875891999996        153.12525535000000        45.719117490000002     
   5577030141363.7607        7.4266889721887407E+030   3.3585637621803806E-003   928.48491888000001        151.61184703999999        45.650766259999997     
   5311457277489.2959        6.9724797463878144E+030   3.1986321544575052E-003   908.31135533999998        150.16191886999999        45.580193399999999     
   5058530740465.9961        6.5485944099319799E+030   3.0463163375785765E-003   888.17001947999995        148.77229616000000        45.507472020000002     
   4817648324253.3291        6.1531190413116141E+030   2.9012536548367390E-003   868.08194507999997        147.43995708000000        45.432666609999998     
   4588236499288.8848        5.7842444651432738E+030   2.7630987188921327E-003   848.06724796000003        146.16202182999999        45.355833330000003     
   4369749046941.7944        5.4402619400405138E+030   2.6315225894210782E-003   828.14512764000006        144.93574275000000        45.277020270000001     
   4161665758992.1851        5.1195588911199301E+030   2.5062119899248361E-003   808.33387117999996        143.75849507999999        45.196267759999998     
   3963491199040.1763        4.8206147074820786E+030   2.3868685618331771E-003   788.65085896000005        142.62776842000000        45.113608589999998     
   3774753522895.4058        4.5419966223041685E+030   2.2732081541268355E-003   769.11257234000004        141.54115881999999        45.029068250000002     
   3595003355138.4814        4.2823556904704259E+030   2.1649601467874625E-003   749.73460305000003        140.49636143000001        44.942665190000000     
   3423812719179.5059        4.0404228759451765E+030   2.0618668064642494E-003   730.53166414999998        139.49116368000000        44.854410989999998     
   3260774018266.1958        3.8150052583610715E+030   1.9636826728230946E-003   711.51760252999998        138.52343898000001        44.764310600000002     
   3105499065015.4243        3.6049823655607122E+030   1.8701739741172328E-003   692.70541266999999        137.59114077999999        44.672362509999999     
   2957618157157.5469        3.4093026360970348E+030   1.7811180705878408E-003   674.10725176999995        136.69229716000001        44.578558940000001     
   2816779197292.9019        3.2269800130204755E+030   1.6963029243693721E-003   655.73445589000005        135.82500573999999        44.482886049999998     
   2682646854564.6685        3.0570906676962939E+030   1.6155265946374974E-003   637.59755715999995        134.98742897000000        44.385324050000001     
   2554901766252.0649        2.8987698500050259E+030   1.5385967567976165E-003   619.70630193000000        134.17778970000001        44.285847400000002     
   2433239777382.9189        2.7512088591939625E+030   1.4653302445691585E-003   602.06966969999996        133.39436714999999        44.184424960000001     
   2317371216555.1606        2.6136521280092296E+030   1.3955526138753889E-003   584.69589275999999        132.63549309000001        44.081020150000001     
   2207020206243.0103        2.4853944117195651E+030   1.3290977275003705E-003   567.59247650999998        131.89954828000000        43.975591029999997     
   2101924005945.7239        2.3657780733975412E+030   1.2658073595241620E-003   550.76622025999995        131.18495922000000        43.868090539999997     
   2001832386614.9751        2.2541904575164226E+030   1.2055308185944401E-003   534.22323848999997        130.49019504000000        43.758466550000001     
   1906507034871.4048        2.1500613456438580E+030   1.1481245891375620E-003   517.96898251000005        129.81376467000001        43.646662010000000     
   1815720985591.8140        2.0528604907970676E+030   1.0934519896548208E-003   502.00826241999999        129.15421416999999        43.532615090000000     
   1729258081516.0132        1.9620952307808625E+030   1.0413828472903054E-003   486.34526922999999        128.51012424999999        43.416259300000000     
   1646912458586.6792        1.8773081853301391E+030   9.9179318789552914E-004   470.98359721000003        127.88010797000000        43.297523599999998     
   1568488055796.8372        1.7980750467357030E+030   9.4456494085288470E-004   455.92626627999999        127.26280857000000        43.176332490000000     
   1493798148377.9402        1.7240024782832461E+030   8.9958565795512837E-004   441.17574446999998        126.65689743999999        43.052606189999999     
