#     Accreting EOS, Mackie-Baym
#      P            ro           nbar        hcell      Ncell   N   Z      nnuc          nout         energ     log(tpyc)    miun-      miun+      miuno      miuel
  0.48066E+29   0.40720E+11   0.24450E-04   935.4728      56   34  22   0.43660E-06    0.0000        0.0000        258.     -6.899     -3.496      0.000      12.48    
  0.64088E+29   0.50532E+11   0.30332E-04   935.8388      56   34  22   0.54165E-06    0.0000        0.0000        242.     -6.899     -3.496      0.000      13.44    
  0.80109E+29   0.59745E+11   0.35854E-04   936.1414      56   34  22   0.64024E-06    0.0000        0.0000        230.     -6.899     -3.496      0.000      14.24    
  0.96131E+29   0.68507E+11   0.41104E-04   936.4016      56   34  22   0.73399E-06    0.0000        0.0000        221.     -6.899     -3.496      0.000      14.93    
  0.11215E+30   0.76912E+11   0.46138E-04   936.6310      56   34  22   0.82389E-06    0.0000        0.0000        213.     -6.898     -3.496      0.000      15.53    
  0.11520E+30   0.78478E+11   0.47076E-04   936.6719      56   34  22   0.84064E-06    0.0000        0.0000        211.     -6.898     -3.496      0.000      15.64    
  0.11520E+30   0.86186E+11   0.51695E-04   936.6246      56   36  20   0.92312E-06    0.0000      -0.47272E-01    184.     -4.523     -1.180      0.000      15.63    
  0.12818E+30   0.93373E+11   0.55998E-04   936.7750      56   36  20   0.99997E-06    0.0000        0.0000        179.     -4.523     -1.180      0.000      16.07    
  0.14420E+30   0.10201E+12   0.61167E-04   936.9458      56   36  20   0.10923E-05    0.0000        0.0000        174.     -4.523     -1.180      0.000      16.56    
  0.16022E+30   0.11040E+12   0.66194E-04   937.1029      56   36  20   0.11820E-05    0.0000        0.0000        170.     -4.523     -1.180      0.000      17.02    
  0.24033E+30   0.14969E+12   0.89706E-04   937.7476      56   36  20   0.16019E-05    0.0000        0.0000        152.     -4.523     -1.179      0.000      18.88    
  0.32044E+30   0.18580E+12   0.11130E-03   938.2464      56   36  20   0.19874E-05    0.0000        0.0000        141.     -4.523     -1.179      0.000      20.33    
  0.47468E+30   0.24960E+12   0.14942E-03   938.9885      56   36  20   0.26683E-05    0.0000        0.0000        125.     -4.523     -1.179      0.000      22.48    
  0.47468E+30   0.27688E+12   0.16573E-03   938.9424      56   38  18   0.29595E-05    0.0000      -0.46144E-01    106.     -2.287     0.9935      0.000      22.46    
  0.48066E+30   0.27949E+12   0.16729E-03   938.9647      56   38  18   0.29874E-05    0.0000        0.0000        105.     -2.287     0.9935      0.000      22.54    
  0.64088E+30   0.34692E+12   0.20756E-03   939.4997      56   38  18   0.37065E-05    0.0000        0.0000        95.6     -2.287     0.9936      0.000      24.25    
  0.80109E+30   0.41023E+12   0.24536E-03   939.9420      56   38  18   0.43814E-05    0.0000        0.0000        88.4     -2.287     0.9937      0.000      25.67    
  0.96131E+30   0.47046E+12   0.28129E-03   940.3221      56   38  18   0.50231E-05    0.0000        0.0000        82.7     -2.287     0.9939      0.000      26.89    
  0.11215E+31   0.52824E+12   0.31576E-03   940.6574      56   38  18   0.56385E-05    0.0000        0.0000        78.0     -2.286     0.9940      0.000      27.97    
  0.12818E+31   0.58400E+12   0.34900E-03   940.9584      56   38  18   0.62322E-05    0.0000        0.0000        73.9     -2.286     0.9941      0.000      28.94    
  0.13612E+31   0.61101E+12   0.36510E-03   941.0974      56   38  18   0.65197E-05    0.0000        0.0000        72.1     -2.286     0.9942      0.000      29.38    
  0.13612E+31   0.68479E+12   0.40911E-03   941.0376      56   36  16   0.73055E-05   0.29291E-04  -0.59766E-01    56.1     -1.526      1.862     0.2618      29.34    
  0.14420E+31   0.71508E+12   0.42716E-03   941.1588      56   36  16   0.76279E-05   0.30587E-04    0.0000        54.7     -1.525      1.863     0.2674      29.77    
  0.16022E+31   0.77397E+12   0.46226E-03   941.3849      56   36  16   0.82546E-05   0.33107E-04    0.0000        52.1     -1.524      1.864     0.2778      30.58    
  0.19803E+31   0.90748E+12   0.54179E-03   941.8582      56   36  16   0.96749E-05   0.38821E-04    0.0000        47.0     -1.522      1.866     0.3003      32.27    
  0.19803E+31   0.10262E+13   0.61259E-03   941.7302      56   32  14   0.10939E-04   0.10973E-03  -0.12803        33.4     -1.447      2.166     0.5034      32.15    
  0.22534E+31   0.11306E+13   0.67477E-03   941.9978      56   32  14   0.12049E-04   0.12091E-03    0.0000        30.9     -1.444      2.169     0.5286      33.22    
  0.22534E+31   0.12938E+13   0.77207E-03   941.8543      56   28  12   0.13787E-04   0.22135E-03  -0.14347        19.1     -1.353      2.534     0.7182      33.01    
  0.24033E+31   0.13576E+13   0.81003E-03   941.9743      56   28  12   0.14465E-04   0.23227E-03    0.0000        18.2     -1.351      2.536     0.7361      33.55    
  0.26374E+31   0.14552E+13   0.86815E-03   942.1510      56   28  12   0.15503E-04   0.24900E-03    0.0000        16.8     -1.348      2.538     0.7626      34.34    
  0.26374E+31   0.17022E+13   0.10158E-02   941.6430     112   48  20   0.90694E-05   0.40063E-03  -0.34647        72.2    -0.4287      2.482     0.9719      34.05    
  0.26374E+31   0.17022E+13   0.10158E-02   941.6430     112   48  20   0.90694E-05   0.40063E-03  -0.50791        72.2    -0.4287      2.482     0.9719      34.05    
