  1.000000015E-01  2.718577812E+01  1.284381894E-01  1.294353792E-01  1.550124302E+56
  1.000680577E-01  2.712649546E+01  1.286243886E-01  1.296254138E-01  1.552400165E+56
  1.001021032E-01  2.709697985E+01  1.287175776E-01  1.297205249E-01  1.553539220E+56
  1.001361603E-01  2.706754833E+01  1.288108266E-01  1.298156987E-01  1.554679027E+56
  1.001702289E-01  2.703605295E+01  1.289041774E-01  1.299109763E-01  1.555820076E+56
  1.002043092E-01  2.700675557E+01  1.289975766E-01  1.300063064E-01  1.556961753E+56
  1.002384010E-01  2.697753987E+01  1.290910352E-01  1.301016989E-01  1.558104178E+56
  1.002725045E-01  2.694840727E+01  1.291845540E-01  1.301971545E-01  1.559247359E+56
  1.003066195E-01  2.691935723E+01  1.292781333E-01  1.302926735E-01  1.560391300E+56
  1.003407462E-01  2.689038421E+01  1.293717707E-01  1.303882535E-01  1.561535970E+56
  1.003748844E-01  2.686149803E+01  1.294654695E-01  1.304838978E-01  1.562681411E+56
  1.004090343E-01  2.683256871E+01  1.295592247E-01  1.305795746E-01  1.563827240E+56
  1.004431958E-01  2.680541652E+01  1.296524997E-01  1.306747784E-01  1.564967406E+56
  1.004773689E-01  2.677695718E+01  1.297453667E-01  1.307695584E-01  1.566102495E+56
  1.005115537E-01  2.674868481E+01  1.298375973E-01  1.308636769E-01  1.567229664E+56
  1.005457500E-01  2.672040957E+01  1.299299219E-01  1.309578906E-01  1.568357971E+56
  1.005799580E-01  2.669228676E+01  1.300222835E-01  1.310521450E-01  1.569486766E+56
  1.006141777E-01  2.666423952E+01  1.301147074E-01  1.311464646E-01  1.570616342E+56
  1.006484090E-01  2.663627085E+01  1.302071927E-01  1.312408484E-01  1.571746688E+56
  1.006826519E-01  2.660838278E+01  1.302997371E-01  1.313352943E-01  1.572877777E+56
  1.007169065E-01  2.658056964E+01  1.303923446E-01  1.314298063E-01  1.574009656E+56
  1.007511727E-01  2.655283066E+01  1.304850129E-01  1.315243818E-01  1.575142297E+56
  1.007854506E-01  2.652516383E+01  1.305777332E-01  1.316190121E-01  1.576275595E+56
  1.008197402E-01  2.649757105E+01  1.306705168E-01  1.317137087E-01  1.577409685E+56
  1.008540414E-01  2.647005203E+01  1.307633637E-01  1.318084715E-01  1.578544568E+56
  1.008883543E-01  2.643553322E+01  1.308562621E-01  1.319032885E-01  1.579680102E+56
