      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

7.9314470E+15	3.1077572E+36	2.4151000E+00	1.7259458E-03	0.0000000E+00	4.2900998E-02	4.9029361E-02	5.3415774E-01	5.0312381E-02	6.3638748E-02	7.8040865E-02	7.8483791E-02	1.0343612E-01	4.6394191E-01	4.6330300E-01	2.3941012E-01	5.3551598E-01	5.3436212E-01	5.3239182E-01	6.3068196E-01	6.2823640E-01
7.9072988E+15	3.0931007E+36	2.4101000E+00	1.6909444E-03	0.0000000E+00	4.3251504E-02	4.9344419E-02	5.3450510E-01	5.0017697E-02	6.3259189E-02	7.7567771E-02	7.8585438E-02	1.0346888E-01	4.6305623E-01	4.6241854E-01	2.3987001E-01	5.3579666E-01	5.3464396E-01	5.3267439E-01	6.3090529E-01	6.2846075E-01
7.8831811E+15	3.0784803E+36	2.4051000E+00	1.6562914E-03	0.0000000E+00	4.3604254E-02	4.9661178E-02	5.3485185E-01	4.9721910E-02	6.2878061E-02	7.7092603E-02	7.8688162E-02	1.0350198E-01	4.6216766E-01	4.6153120E-01	2.4033140E-01	5.3607825E-01	5.3492671E-01	5.3295788E-01	6.3112935E-01	6.2868584E-01
7.8590939E+15	3.0638960E+36	2.4001000E+00	1.6219880E-03	0.0000000E+00	4.3959267E-02	4.9979651E-02	5.3519795E-01	4.9425018E-02	6.2495357E-02	7.6615352E-02	7.8791973E-02	1.0353543E-01	4.6127616E-01	4.6064093E-01	2.4079431E-01	5.3636078E-01	5.3521039E-01	5.3324230E-01	6.3135415E-01	6.2891166E-01
7.8350372E+15	3.0493479E+36	2.3951000E+00	1.5880355E-03	0.0000000E+00	4.4316563E-02	5.0299853E-02	5.3554338E-01	4.9127014E-02	6.2111070E-02	7.6136007E-02	7.8896882E-02	1.0356923E-01	4.6038172E-01	4.5974772E-01	2.4125875E-01	5.3664424E-01	5.3549502E-01	5.3352767E-01	6.3157970E-01	6.2913824E-01
7.8110108E+15	3.0348360E+36	2.3901000E+00	1.5544353E-03	0.0000000E+00	4.4676160E-02	5.0621799E-02	5.3588813E-01	4.8827894E-02	6.1725192E-02	7.5654560E-02	7.9002900E-02	1.0360337E-01	4.5948430E-01	4.5885153E-01	2.4172474E-01	5.3692864E-01	5.3578059E-01	5.3381398E-01	6.3180599E-01	6.2936556E-01
7.7870148E+15	3.0203604E+36	2.3851000E+00	1.5211885E-03	0.0000000E+00	4.5038080E-02	5.0945502E-02	5.3623215E-01	4.8527652E-02	6.1337715E-02	7.5170999E-02	7.9110038E-02	1.0363786E-01	4.5858386E-01	4.5795233E-01	2.4219229E-01	5.3721400E-01	5.3606712E-01	5.3410126E-01	6.3203305E-01	6.2959365E-01
7.7630491E+15	3.0059211E+36	2.3801000E+00	1.4882965E-03	0.0000000E+00	4.5402342E-02	5.1270978E-02	5.3657544E-01	4.8226283E-02	6.0948632E-02	7.4685315E-02	7.9218307E-02	1.0367270E-01	4.5768038E-01	4.5705010E-01	2.4266142E-01	5.3750032E-01	5.3635462E-01	5.3438951E-01	6.3226087E-01	6.2982252E-01
7.7391136E+15	2.9915181E+36	2.3751000E+00	1.4557605E-03	0.0000000E+00	4.5768967E-02	5.1598241E-02	5.3691797E-01	4.7923782E-02	6.0557936E-02	7.4197499E-02	7.9327718E-02	1.0370789E-01	4.5677384E-01	4.5614480E-01	2.4313215E-01	5.3778761E-01	5.3664309E-01	5.3467873E-01	6.3248947E-01	6.3005215E-01
7.7152084E+15	2.9771516E+36	2.3701000E+00	1.4235816E-03	0.0000000E+00	4.6137976E-02	5.1927307E-02	5.3725971E-01	4.7620144E-02	6.0165618E-02	7.3707539E-02	7.9438283E-02	1.0374343E-01	4.5586418E-01	4.5523640E-01	2.4360449E-01	5.3807589E-01	5.3693255E-01	5.3496895E-01	6.3271884E-01	6.3028258E-01
7.6913334E+15	2.9628215E+36	2.3651000E+00	1.3917610E-03	0.0000000E+00	4.6509390E-02	5.2258189E-02	5.3760063E-01	4.7315364E-02	5.9771672E-02	7.3215428E-02	7.9550014E-02	1.0377931E-01	4.5495139E-01	4.5432487E-01	2.4407845E-01	5.3836516E-01	5.3722301E-01	5.3526017E-01	6.3294901E-01	6.3051380E-01
7.6674885E+15	2.9485279E+36	2.3601000E+00	1.3602999E-03	0.0000000E+00	4.6883230E-02	5.2590905E-02	5.3794071E-01	4.7009437E-02	5.9376090E-02	7.2721153E-02	7.9662921E-02	1.0381556E-01	4.5403543E-01	4.5341017E-01	2.4455407E-01	5.3865544E-01	5.3751448E-01	5.3555240E-01	6.3317998E-01	6.3074582E-01
7.6436737E+15	2.9342708E+36	2.3551000E+00	1.3291993E-03	0.0000000E+00	4.7259518E-02	5.2925469E-02	5.3827992E-01	4.6702357E-02	5.8978864E-02	7.2224707E-02	7.9777018E-02	1.0385215E-01	4.5311627E-01	4.5249227E-01	2.4503134E-01	5.3894673E-01	5.3780697E-01	5.3584565E-01	6.3341176E-01	6.3097866E-01
7.6198889E+15	2.9200504E+36	2.3501000E+00	1.2984604E-03	0.0000000E+00	4.7638276E-02	5.3261897E-02	5.3861823E-01	4.6394119E-02	5.8579987E-02	7.1726078E-02	7.9892316E-02	1.0388910E-01	4.5219387E-01	4.5157115E-01	2.4551030E-01	5.3923905E-01	5.3810049E-01	5.3613993E-01	6.3364435E-01	6.3121231E-01
