      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

1.0807048E+16	6.3693609E+36	2.4951000E+00	8.0930990E-03	3.7241227E-03	3.7418074E-02	5.5017435E-02	1.9685597E-01	1.2863613E-01	1.5234549E-01	1.7822022E-01	1.1641874E-01	1.3508794E-01	5.3903980E-01	5.3829747E-01	1.3018796E-01	2.0367070E-01	2.0115329E-01	1.9831453E-01	5.3298125E-02	4.8218116E-02
1.0770390E+16	6.3408429E+36	2.4901000E+00	8.0579443E-03	3.6919424E-03	3.7578510E-02	5.5189237E-02	1.9709784E-01	1.2840404E-01	1.5209942E-01	1.7795950E-01	1.1649458E-01	1.3517686E-01	5.3838259E-01	5.3764117E-01	1.2970559E-01	2.0401046E-01	2.0149445E-01	1.9865657E-01	5.3702215E-02	4.8624050E-02
1.0733793E+16	6.3123865E+36	2.4851000E+00	8.0225197E-03	3.6595915E-03	3.7740847E-02	5.5362781E-02	1.9734108E-01	1.2817047E-01	1.5185146E-01	1.7769643E-01	1.1657086E-01	1.3526608E-01	5.3772188E-01	5.3698137E-01	1.2922065E-01	2.0435204E-01	2.0183742E-01	1.9900044E-01	5.4108458E-02	4.9032147E-02
1.0697258E+16	6.2839917E+36	2.4801000E+00	7.9868229E-03	3.6270694E-03	3.7905115E-02	5.5538090E-02	1.9758570E-01	1.2793538E-01	1.5160158E-01	1.7743097E-01	1.1664757E-01	1.3535559E-01	5.3705762E-01	5.3631802E-01	1.2873311E-01	2.0469544E-01	2.0218224E-01	1.9934616E-01	5.4516881E-02	4.9442433E-02
1.0660785E+16	6.2556586E+36	2.4751000E+00	7.9508512E-03	3.5943757E-03	3.8071341E-02	5.5715188E-02	1.9783172E-01	1.2769878E-01	1.5134976E-01	1.7716309E-01	1.1672473E-01	1.3544539E-01	5.3638977E-01	5.3565110E-01	1.2824293E-01	2.0504070E-01	2.0252892E-01	1.9969374E-01	5.4927511E-02	4.9854937E-02
1.0624373E+16	6.2273873E+36	2.4701000E+00	7.9146024E-03	3.5615097E-03	3.8239555E-02	5.5894099E-02	1.9807915E-01	1.2746063E-01	1.5109598E-01	1.7689275E-01	1.1680233E-01	1.3553550E-01	5.3571829E-01	5.3498054E-01	1.2775008E-01	2.0538784E-01	2.0287749E-01	2.0004322E-01	5.5340377E-02	5.0269687E-02
1.0588022E+16	6.1991778E+36	2.4651000E+00	7.8780737E-03	3.5284712E-03	3.8409787E-02	5.6074847E-02	1.9832800E-01	1.2722093E-01	1.5084020E-01	1.7661993E-01	1.1688039E-01	1.3562590E-01	5.3504313E-01	5.3430631E-01	1.2725453E-01	2.0573689E-01	2.0322797E-01	2.0039461E-01	5.5755508E-02	5.0686712E-02
1.0551733E+16	6.1710302E+36	2.4601000E+00	7.8412626E-03	3.4952596E-03	3.8582068E-02	5.6257457E-02	1.9857829E-01	1.2697966E-01	1.5058241E-01	1.7634459E-01	1.1695891E-01	1.3571661E-01	5.3436423E-01	5.3362834E-01	1.2675624E-01	2.0608786E-01	2.0358038E-01	2.0074795E-01	5.6172932E-02	5.1106041E-02
1.0515505E+16	6.1429445E+36	2.4551000E+00	7.8041666E-03	3.4618745E-03	3.8756430E-02	5.6441955E-02	1.9883002E-01	1.2673679E-01	1.5032258E-01	1.7606670E-01	1.1703790E-01	1.3580762E-01	5.3368156E-01	5.3294661E-01	1.2625518E-01	2.0644079E-01	2.0393476E-01	2.0110325E-01	5.6592681E-02	5.1527704E-02
1.0479338E+16	6.1149209E+36	2.4501000E+00	7.7667830E-03	3.4283156E-03	3.8932904E-02	5.6628366E-02	1.9908322E-01	1.2649231E-01	1.5006068E-01	1.7578621E-01	1.1711736E-01	1.3589894E-01	5.3299505E-01	5.3226105E-01	1.2575131E-01	2.0679570E-01	2.0429113E-01	2.0146054E-01	5.7014783E-02	5.1951733E-02
1.0443232E+16	6.0869593E+36	2.4451000E+00	7.7291092E-03	3.3945826E-03	3.9111523E-02	5.6816718E-02	1.9933790E-01	1.2624621E-01	1.4979669E-01	1.7550310E-01	1.1719730E-01	1.3599056E-01	5.3230466E-01	5.3157161E-01	1.2524459E-01	2.0715261E-01	2.0464951E-01	2.0181986E-01	5.7439272E-02	5.2378159E-02
