      6    1696    1550         Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

4.1389736E+15	1.5515015E+36	1.5830000E+00	4.4803458E-03	3.7076076E-04	2.2406386E-01	1.8372753E-01	3.2471034E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7887642E-01	8.8621844E-02	4.3777884E-01	4.6619523E-01	6.8393196E-01	7.0305936E-01	7.0594824E-01	7.0778819E-01	8.4433773E-01	8.2745600E-01
4.1352692E+15	1.5494777E+36	1.5820000E+00	4.4959149E-03	3.7655677E-04	2.2416212E-01	1.8375882E-01	3.2469043E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7888635E-01	8.8502266E-02	4.3773589E-01	4.6618691E-01	6.8391755E-01	7.0309997E-01	7.0598902E-01	7.0782908E-01	8.4434390E-01	8.2743749E-01
4.1315661E+15	1.5474553E+36	1.5810000E+00	4.5115220E-03	3.8239037E-04	2.2426052E-01	1.8379016E-01	3.2467048E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7889625E-01	8.8382583E-02	4.3769298E-01	4.6617864E-01	6.8390316E-01	7.0314062E-01	7.0602983E-01	7.0787000E-01	8.4435007E-01	8.2741899E-01
4.1278645E+15	1.5454342E+36	1.5800000E+00	4.5271671E-03	3.8826154E-04	2.2435905E-01	1.8382155E-01	3.2465048E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7890612E-01	8.8262792E-02	4.3765012E-01	4.6617042E-01	6.8388880E-01	7.0318129E-01	7.0607068E-01	7.0791095E-01	8.4435626E-01	8.2740049E-01
4.1241644E+15	1.5434145E+36	1.5790000E+00	4.5428503E-03	3.9417025E-04	2.2445772E-01	1.8385298E-01	3.2463044E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7891596E-01	8.8142895E-02	4.3760731E-01	4.6616226E-01	6.8387446E-01	7.0322200E-01	7.0611155E-01	7.0795193E-01	8.4436245E-01	8.2738199E-01
4.1204656E+15	1.5413961E+36	1.5780000E+00	4.5585716E-03	4.0011648E-04	2.2455651E-01	1.8388446E-01	3.2461036E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7892577E-01	8.8022891E-02	4.3756454E-01	4.6615415E-01	6.8386015E-01	7.0326274E-01	7.0615246E-01	7.0799295E-01	8.4436865E-01	8.2736350E-01
4.1167683E+15	1.5393791E+36	1.5770000E+00	4.5743312E-03	4.0610020E-04	2.2465544E-01	1.8391599E-01	3.2459023E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7893556E-01	8.7902780E-02	4.3752182E-01	4.6614610E-01	6.8384587E-01	7.0330352E-01	7.0619340E-01	7.0803399E-01	8.4437487E-01	8.2734501E-01
4.1130724E+15	1.5373634E+36	1.5760000E+00	4.5901291E-03	4.1212141E-04	2.2475451E-01	1.8394756E-01	3.2457006E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7894531E-01	8.7782563E-02	4.3747914E-01	4.6613810E-01	6.8383161E-01	7.0334432E-01	7.0623438E-01	7.0807507E-01	8.4438109E-01	8.2732652E-01
4.1093779E+15	1.5353491E+36	1.5750000E+00	4.6059654E-03	4.1818006E-04	2.2485370E-01	1.8397918E-01	3.2454984E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7895504E-01	8.7662238E-02	4.3743651E-01	4.6613016E-01	6.8381737E-01	7.0338516E-01	7.0627538E-01	7.0811619E-01	8.4438732E-01	8.2730804E-01
4.1056848E+15	1.5333362E+36	1.5740000E+00	4.6218401E-03	4.2427615E-04	2.2495303E-01	1.8401085E-01	3.2452958E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7896473E-01	8.7541805E-02	4.3739393E-01	4.6612228E-01	6.8380316E-01	7.0342603E-01	7.0631642E-01	7.0815733E-01	8.4439356E-01	8.2728956E-01
4.1019932E+15	1.5313246E+36	1.5730000E+00	4.6377534E-03	4.3040967E-04	2.2505250E-01	1.8404256E-01	3.2450927E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7897440E-01	8.7421266E-02	4.3735139E-01	4.6611445E-01	6.8378898E-01	7.0346693E-01	7.0635749E-01	7.0819851E-01	8.4439982E-01	8.2727109E-01
4.0983030E+15	1.5293143E+36	1.5720000E+00	4.6537053E-03	4.3658058E-04	2.2515210E-01	1.8407432E-01	3.2448892E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7898404E-01	8.7300618E-02	4.3730890E-01	4.6610667E-01	6.8377482E-01	7.0350786E-01	7.0639859E-01	7.0823971E-01	8.4440608E-01	8.2725262E-01
4.0946142E+15	1.5273054E+36	1.5710000E+00	4.6696958E-03	4.4278888E-04	2.2525183E-01	1.8410613E-01	3.2446853E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7899364E-01	8.7179863E-02	4.3726646E-01	4.6609896E-01	6.8376068E-01	7.0354883E-01	7.0643972E-01	7.0828096E-01	8.4441235E-01	8.2723415E-01
4.0909268E+15	1.5252979E+36	1.5700000E+00	4.6857251E-03	4.4903456E-04	2.2535170E-01	1.8413798E-01	3.2444809E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7900322E-01	8.7059000E-02	4.3722407E-01	4.6609129E-01	6.8374658E-01	7.0358983E-01	7.0648089E-01	7.0832223E-01	8.4441863E-01	8.2721569E-01
4.0872408E+15	1.5232917E+36	1.5690000E+00	4.7017931E-03	4.5531760E-04	2.2545171E-01	1.8416988E-01	3.2442760E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7901277E-01	8.6938030E-02	4.3718172E-01	4.6608369E-01	6.8373250E-01	7.0363086E-01	7.0652209E-01	7.0836354E-01	8.4442492E-01	8.2719723E-01
4.0835563E+15	1.5212869E+36	1.5680000E+00	4.7179001E-03	4.6163799E-04	2.2555185E-01	1.8420183E-01	3.2440707E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7902229E-01	8.6816951E-02	4.3713942E-01	4.6607614E-01	6.8371844E-01	7.0367192E-01	7.0656332E-01	7.0840487E-01	8.4443123E-01	8.2717877E-01
4.0798732E+15	1.5192834E+36	1.5670000E+00	4.7340460E-03	4.6799571E-04	2.2565213E-01	1.8423383E-01	3.2438650E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7903179E-01	8.6695763E-02	4.3709716E-01	4.6606864E-01	6.8370441E-01	7.0371302E-01	7.0660458E-01	7.0844625E-01	8.4443754E-01	8.2716031E-01
4.0761915E+15	1.5172813E+36	1.5660000E+00	4.7502310E-03	4.7439077E-04	2.2575254E-01	1.8426587E-01	3.2436588E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7904125E-01	8.6574468E-02	4.3705496E-01	4.6606121E-01	6.8369040E-01	7.0375414E-01	7.0664588E-01	7.0848765E-01	8.4444386E-01	8.2714186E-01
4.0725112E+15	1.5152806E+36	1.5650000E+00	4.7664550E-03	4.8082315E-04	2.2585309E-01	1.8429796E-01	3.2434521E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7905068E-01	8.6453064E-02	4.3701280E-01	4.6605383E-01	6.8367643E-01	7.0379530E-01	7.0668721E-01	7.0852909E-01	8.4445020E-01	8.2712342E-01
4.0688324E+15	1.5132812E+36	1.5640000E+00	4.7827183E-03	4.8729284E-04	2.2595377E-01	1.8433009E-01	3.2432450E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7906008E-01	8.6331551E-02	4.3697068E-01	4.6604650E-01	6.8366247E-01	7.0383649E-01	7.0672857E-01	7.0857055E-01	8.4445654E-01	8.2710497E-01
4.0651550E+15	1.5112831E+36	1.5630000E+00	4.7990208E-03	4.9379984E-04	2.2605460E-01	1.8436228E-01	3.2430374E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7906946E-01	8.6209929E-02	4.3692862E-01	4.6603924E-01	6.8364855E-01	7.0387772E-01	7.0676996E-01	7.0861206E-01	8.4446289E-01	8.2708653E-01
4.0614790E+15	1.5092864E+36	1.5620000E+00	4.8153626E-03	5.0034415E-04	2.2615556E-01	1.8439451E-01	3.2428294E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7907880E-01	8.6088198E-02	4.3688660E-01	4.6603203E-01	6.8363465E-01	7.0391898E-01	7.0681139E-01	7.0865359E-01	8.4446925E-01	8.2706810E-01
4.0578044E+15	1.5072911E+36	1.5610000E+00	4.8317437E-03	5.0692575E-04	2.2625666E-01	1.8442678E-01	3.2426209E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7908811E-01	8.5966359E-02	4.3684463E-01	4.6602487E-01	6.8362077E-01	7.0396027E-01	7.0685285E-01	7.0869516E-01	8.4447563E-01	8.2704967E-01
4.0541313E+15	1.5052971E+36	1.5600000E+00	4.8481644E-03	5.1354464E-04	2.2635789E-01	1.8445911E-01	3.2424119E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7909740E-01	8.5844410E-02	4.3680271E-01	4.6601778E-01	6.8360692E-01	7.0400159E-01	7.0689434E-01	7.0873676E-01	8.4448201E-01	8.2703124E-01
4.0504595E+15	1.5033045E+36	1.5590000E+00	4.8646246E-03	5.2020083E-04	2.2645927E-01	1.8449148E-01	3.2422025E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7910665E-01	8.5722351E-02	4.3676083E-01	4.6601074E-01	6.8359310E-01	7.0404294E-01	7.0693587E-01	7.0877839E-01	8.4448841E-01	8.2701281E-01
