# File from M. Beznogov- HHJ EOS from Kaminker et al. (2014)- EOS used in Beznogov & Yakovlev MNRAS 447 (2015)
#    rho             P           nb             ne             nmu 
#    g/cm^3            dyn/cm^2    fm-3           fm-3           fm-3
 6.090851e+12  5.991782e+30  3.667998e-03  1.739946e-04  0.000000e+00
 6.526976e+12  6.525939e+30  3.930630e-03  1.814539e-04  0.000000e+00
 6.994312e+12  7.124855e+30  4.212073e-03  1.893926e-04  0.000000e+00
 7.495144e+12  7.796416e+30  4.513674e-03  1.978471e-04  0.000000e+00
 8.031839e+12  8.549328e+30  4.836880e-03  2.068565e-04  0.000000e+00
 8.606984e+12  9.393274e+30  5.183240e-03  2.164637e-04  0.000000e+00
 9.223335e+12  1.033889e+31  5.554414e-03  2.267152e-04  0.000000e+00
 9.883847e+12  1.139798e+31  5.952182e-03  2.376613e-04  0.000000e+00
 1.059167e+13  1.258360e+31  6.378451e-03  2.493572e-04  0.000000e+00
 1.135024e+13  1.391016e+31  6.835267e-03  2.618626e-04  0.000000e+00
 1.216316e+13  1.539352e+31  7.324822e-03  2.752428e-04  0.000000e+00
 1.303435e+13  1.705132e+31  7.849464e-03  2.895687e-04  0.000000e+00
 1.396799e+13  1.890292e+31  8.411713e-03  3.049175e-04  0.000000e+00
 1.496855e+13  2.096974e+31  9.014267e-03  3.213737e-04  0.000000e+00
 1.604085e+13  2.327555e+31  9.660019e-03  3.390290e-04  0.000000e+00
 1.719003e+13  2.584640e+31  1.035207e-02  3.579836e-04  0.000000e+00
 1.842162e+13  2.871131e+31  1.109375e-02  3.783464e-04  0.000000e+00
 1.974153e+13  3.190230e+31  1.188862e-02  4.002364e-04  0.000000e+00
 2.115610e+13  3.545480e+31  1.274050e-02  4.237830e-04  0.000000e+00
 2.267215e+13  3.940815e+31  1.365348e-02  4.491270e-04  0.000000e+00
 2.429695e+13  4.380574e+31  1.463196e-02  4.764218e-04  0.000000e+00
 2.603833e+13  4.869619e+31  1.568064e-02  5.058338e-04  0.000000e+00
 2.790465e+13  5.413324e+31  1.680456e-02  5.375437e-04  0.000000e+00
 2.990492e+13  6.017693e+31  1.800915e-02  5.717473e-04  0.000000e+00
 3.204874e+13  6.689413e+31  1.930019e-02  6.086563e-04  0.000000e+00
 3.434646e+13  7.436011e+31  2.068391e-02  6.484991e-04  0.000000e+00
 3.680913e+13  8.265878e+31  2.216696e-02  6.915212e-04  0.000000e+00
 3.944863e+13  9.188487e+31  2.375650e-02  7.379856e-04  0.000000e+00
 4.227768e+13  1.021451e+32  2.546019e-02  7.881731e-04  0.000000e+00
 4.530992e+13  1.135601e+32  2.728625e-02  8.423812e-04  0.000000e+00
 4.855998e+13  1.262668e+32  2.924348e-02  9.009233e-04  0.000000e+00
 5.204355e+13  1.404214e+32  3.134134e-02  9.641267e-04  0.000000e+00
 5.577744e+13  1.562019e+32  3.358994e-02  1.032330e-03  0.000000e+00
 5.977972e+13  1.738127e+32  3.600017e-02  1.105876e-03  0.000000e+00
 6.406972e+13  1.934889e+32  3.858366e-02  1.185112e-03  0.000000e+00
 6.866819e+13  2.155017e+32  4.135292e-02  1.270372e-03  0.000000e+00
 7.359739e+13  2.401659e+32  4.432135e-02  1.361974e-03  0.000000e+00
 8.095713e+13  2.797304e+32  4.432135e-02  1.361974e-03  0.000000e+00
 8.905284e+13  3.258126e+32  4.432135e-02  1.361974e-03  0.000000e+00
 9.795813e+13  3.794864e+32  4.432135e-02  1.361974e-03  0.000000e+00
 1.077539e+14  4.420023e+32  4.432135e-02  1.361974e-03  0.000000e+00
 1.140179e+14  4.726102e+32  6.761128e-02  1.337906e-03  0.000000e+00
 1.159531e+14  4.904735e+32  6.875385e-02  1.382999e-03  0.000000e+00
 1.179213e+14  5.090140e+32  6.991574e-02  1.429566e-03  0.000000e+00
 1.199232e+14  5.282576e+32  7.109725e-02  1.477655e-03  0.000000e+00
 1.219594e+14  5.482311e+32  7.229874e-02  1.527313e-03  0.000000e+00
 1.240303e+14  5.689624e+32  7.352053e-02  1.578588e-03  0.000000e+00
 1.261367e+14  5.904804e+32  7.476297e-02  1.631532e-03  0.000000e+00
 1.282792e+14  6.128153e+32  7.602640e-02  1.686195e-03  0.000000e+00
 1.304583e+14  6.359983e+32  7.731118e-02  1.742632e-03  0.000000e+00
 1.326748e+14  6.600618e+32  7.861768e-02  1.800896e-03  0.000000e+00
 1.349293e+14  6.850396e+32  7.994625e-02  1.861045e-03  0.000000e+00
 1.372225e+14  7.109666e+32  8.129728e-02  1.923135e-03  0.000000e+00
 1.395550e+14  7.378794e+32  8.267114e-02  1.987228e-03  0.000000e+00
 1.419276e+14  7.723445e+32  8.406821e-02  2.053385e-03  0.000000e+00
 1.443409e+14  8.086435e+32  8.548889e-02  2.121667e-03  0.000000e+00
 1.467957e+14  8.468763e+32  8.693359e-02  2.192141e-03  0.000000e+00
