6	126	38		Itext, Imax, Icore												
																
EOS Sly4, Douchin et Haensel (2001) core + inner crust / EOS Haensel Zdunik Dobaczewski outer crust																
																
Rho	Press	nbar	Ye	Ymu	Yn	Yp	Yla	Ysm	Ys0	Ysp	mstp	mstn	mstla	mstsm	msts0	mstsp
g/cm3	dyne/cm2	#/fm3	[A_cell]	[A_ion]	[Z]				
							
1.2845E+14	5.3739E+32	7.5959E-02	1501.316	615.840	53.162											
1.2720E+14	5.2856E+32	7.5226E-02	1430.222	566.654	50.492											
1.2372E+14	5.0462E+32	7.3174E-02	1306.234	476.253	45.719											
1.1859E+14	4.6998E+32	7.0154E-02	1216.759	401.652	42.051											
1.1351E+14	4.3681E+32	6.7163E-02	1175.822	357.685	40.154											
1.0845E+14	4.0509E+32	6.4183E-02	1157.875	328.489	39.116											
1.0173E+14	3.6505E+32	6.0219E-02	1153.394	302.074	38.458											
9.5022E+13	3.2756E+32	5.6264E-02	1160.576	283.993	38.281											
8.8350E+13	2.9261E+32	5.2327E-02	1174.525	270.963	38.393											
8.1738E+13	2.6018E+32	4.8425E-02	1190.451	261.185	38.686											
7.5224E+13	2.3024E+32	4.4578E-02	1207.457	253.566	39.094											
6.7284E+13	1.9626E+32	3.9888E-02	1226.316	245.999	39.699											
6.1153E+13	1.7175E+32	3.6264E-02	1238.684	240.924	40.219											
5.3843E+13	1.4430E+32	3.1941E-02	1248.689	235.253	40.876											
4.7001E+13	1.2023E+32	2.7894E-02	1252.298	229.922	41.507											
4.0688E+13	9.9286E+31	2.4157E-02	1248.111	224.660	42.089											
3.6043E+13	8.4613E+31	2.1405E-02	1239.595	220.400	42.506											
2.7844E+13	6.0234E+31	1.6547E-02	1208.686	211.641	43.198											
2.1042E+13	4.1574E+31	1.2513E-02	1157.794	202.614	43.691											
1.6774E+13	3.0720E+31	9.9795E-03	1106.699	195.775	43.939											
1.2593E+13	2.0894E+31	7.4963E-03	1031.510	187.838	44.108											
9.6148E+12	1.4513E+31	5.7260E-03	952.888	181.144	44.164											
7.5106E+12	1.0405E+31	4.4746E-03	875.763	175.678	44.155											
5.7153E+12	7.2304E+30	3.4064E-03	787.121	170.333	44.101											
4.4827E+12	5.2679E+30	2.6726E-03	707.624	166.150	44.030											
3.4178E+12	3.7461E+30	2.0384E-03	620.647	162.051	43.935											
2.7232E+12	2.8565E+30	1.6246E-03	550.467	159.030	43.851											
2.1141E+12	2.1547E+30	1.2616E-03	476.795	156.055	43.755											
1.7543E+12	1.7792E+30	1.0471E-03	426.145	154.094	43.685											
1.2831E+12	1.3370E+30	7.6608E-04	349.074	151.184	43.571											
1.0146E+12	1.1128E+30	6.0594E-04	298.168	149.263	43.490											
8.9426E+11	1.0191E+30	5.3414E-04	273.274	148.306	43.447											
