      6    300    41          Itext Imax Icore
 Output of the Ioffe code for BSk

 NSCool Input Core
   Rho        Press       nbar       Ye         Ymu        Yn         Yp         Yla        Ysm        Ys0        Ysp       mstp       mstn       mstla      mstsm      msts0      mstsp
 NSCool Input Crust
   Rho        Press       nbar       [A_cell]    [A_ion]     [Z]
   2376126688870672.0        1.1406370979388174E+036   1.0000000000000000       0.18279718916435383       0.15791427225495624       0.65928853858068992       0.34071146141931008        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.24153752334439343       0.20181788152024976        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   2162943158995134.5        9.6359981812064861E+035  0.94025182723999023       0.17521632906675147       0.14963346656836901       0.67515020436487949       0.32484979563512051        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.25729312982385177       0.21429974865350543        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1973298841996388.8        8.1363385184936571E+035  0.88407349586486816       0.16727368477631835       0.14102251020111950       0.69170380502256212       0.30829619497743788        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.27357828033329323       0.22756307977153661        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1804240835651931.8        6.8664106203852534E+035  0.83125174045562744       0.15904940479715729       0.13217175242498463       0.70877884277785808       0.29122115722214192        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.29030564735590586       0.24167189385427970        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1653201501771438.0        5.7912622778825266E+035  0.78158599138259888       0.15063806644572406       0.12318280277829743       0.72617913077597851       0.27382086922402149        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.30737837237062166       0.25669180324596452        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1517948714426820.0        4.8811494109814068E+035  0.73488765954971313       0.14214498269573916       0.11416402995249543       0.74369098735176542       0.25630901264823458        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.32469533242874266       0.27268749916645990        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1396540359119379.2        4.1107989648461882E+035  0.69097870588302612       0.13368121388395113       0.10522518981055523       0.76109359630549367       0.23890640369450636        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.34215737607392610       0.28972007754501400        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1287294479124860.0        3.4588220325305596E+035  0.64969396591186523       0.12535858944493378        9.6472619935075887E-002  0.77816879061999034       0.22183120938000966        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.35967193975875961       0.30784255126431831        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1188743531171542.2        2.9070756821308728E+035  0.61087596416473389       0.11728310266440597        8.8003233909820566E-002  0.79471366342577343       0.20528633657422654        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.37715978446985104       0.32709820226263703        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1099613649195711.2        2.4402289831305577E+035  0.57437723875045776       0.10955018048005810        7.9900876302594570E-002  0.81054894321734738       0.18945105678265267        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.39455723478588312       0.34751619005564788        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1018797878049715.8        2.0453296738790792E+035  0.54005926847457886       0.10224028229054902        7.2233199836211598E-002  0.82552651787323938       0.17447348212676062        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.41181782017449980       0.36910868220320031        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   945333558186754.75        1.7114359139523460E+035  0.50779169797897339        9.5415886599691233E-002   6.5049963860207144E-002  0.83953414954010164       0.16046585045989836        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.42891194303822705       0.39186845622053995        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   878383753152964.62        1.4293056582426079E+035  0.47745209932327271        8.9120100658358126E-002   5.8382807710890279E-002  0.85249709163075160       0.14750290836924840        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.44582469770458794       0.41576683592356811        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   817219850644423.25        1.1911255530051783E+035  0.44892519712448120        8.3376625046856487E-002   5.2246087697411014E-002  0.86437728725573248       0.13562271274426752        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.46255289822030782       0.44075276953945425        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   761207734699061.88        9.9028605150372649E+034  0.42210274934768677        7.8191107655465539E-002   4.6638762916976807E-002  0.87517012942755767       0.12482987057244235        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.47910125462459369       0.46675224923367764        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   709794611822323.50        8.2118633583820130E+034  0.39688289165496826        7.3553316028283564E-002   4.1546747054863935E-002  0.88489993691685254       0.11510006308314749        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.49547888083499114       0.49366901338923180        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
