      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

6.3896712E+15	2.0830193E+36	2.4151000E+00	9.0975505E-04	0.0000000E+00	1.9531877E-01	1.7390024E-01	3.2214399E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7299048E-01	1.3564651E-01	1.1259839E-01	1.1244333E-01	6.8822190E-01	8.5747360E-01	8.5764267E-01	8.5651495E-01	1.0284982E+00	1.0278678E+00
6.3716543E+15	2.0744114E+36	2.4101000E+00	9.2435401E-04	0.0000000E+00	1.9548978E-01	1.7395576E-01	3.2212243E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7303140E-01	1.3540064E-01	1.1286587E-01	1.1271044E-01	6.8831578E-01	8.5751642E-01	8.5768567E-01	8.5655807E-01	1.0284896E+00	1.0278591E+00
6.3536571E+15	2.0658213E+36	2.4051000E+00	9.3912528E-04	0.0000000E+00	1.9566152E-01	1.7401156E-01	3.2210056E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7307243E-01	1.3515392E-01	1.1313415E-01	1.1297835E-01	6.8840994E-01	8.5755938E-01	8.5772881E-01	8.5660131E-01	1.0284810E+00	1.0278505E+00
6.3356798E+15	2.0572489E+36	2.4001000E+00	9.5407028E-04	0.0000000E+00	1.9583401E-01	1.7406765E-01	3.2207841E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7311357E-01	1.3490636E-01	1.1340321E-01	1.1324704E-01	6.8850437E-01	8.5760246E-01	8.5777206E-01	8.5664468E-01	1.0284724E+00	1.0278418E+00
6.3177224E+15	2.0486943E+36	2.3951000E+00	9.6919043E-04	0.0000000E+00	1.9600725E-01	1.7412402E-01	3.2205595E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7315483E-01	1.3465795E-01	1.1367307E-01	1.1351653E-01	6.8859909E-01	8.5764567E-01	8.5781545E-01	8.5668818E-01	1.0284637E+00	1.0278331E+00
6.2997848E+15	2.0401575E+36	2.3901000E+00	9.8448717E-04	0.0000000E+00	1.9618124E-01	1.7418068E-01	3.2203320E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7319619E-01	1.3440869E-01	1.1394373E-01	1.1378682E-01	6.8869408E-01	8.5768900E-01	8.5785896E-01	8.5673181E-01	1.0284550E+00	1.0278244E+00
6.2818671E+15	2.0316386E+36	2.3851000E+00	9.9996195E-04	0.0000000E+00	1.9635599E-01	1.7423763E-01	3.2201014E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7323767E-01	1.3415856E-01	1.1421520E-01	1.1405791E-01	6.8878936E-01	8.5773247E-01	8.5790261E-01	8.5677557E-01	1.0284463E+00	1.0278156E+00
6.2639692E+15	2.0231374E+36	2.3801000E+00	1.0156162E-03	0.0000000E+00	1.9653151E-01	1.7429488E-01	3.2198678E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7327926E-01	1.3390757E-01	1.1448747E-01	1.1432981E-01	6.8888492E-01	8.5777607E-01	8.5794638E-01	8.5681946E-01	1.0284376E+00	1.0278069E+00
6.2460911E+15	2.0146539E+36	2.3751000E+00	1.0314514E-03	0.0000000E+00	1.9670779E-01	1.7435241E-01	3.2196311E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7332096E-01	1.3365572E-01	1.1476056E-01	1.1460252E-01	6.8898077E-01	8.5781979E-01	8.5799029E-01	8.5686347E-01	1.0284288E+00	1.0277981E+00
6.2282330E+15	2.0061883E+36	2.3701000E+00	1.0474691E-03	0.0000000E+00	1.9688485E-01	1.7441025E-01	3.2193914E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7336278E-01	1.3340299E-01	1.1503446E-01	1.1487605E-01	6.8907690E-01	8.5786365E-01	8.5803432E-01	8.5690763E-01	1.0284200E+00	1.0277892E+00
