      6    1789    1650      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

4.5382065E+15	1.5544599E+36	1.6830000E+00	2.8127742E-02	1.9060003E-02	3.0346908E-01	2.2362525E-01	2.1660046E-01	8.6626317E-03	0.0000000E+00	0.0000000E+00	1.6777487E-01	7.9867710E-02	4.6976091E-01	5.1936491E-01	5.0522376E-01	5.1018223E-01	4.9678002E-01	4.9807481E-01	5.1975231E-01	4.8621958E-01
4.5344829E+15	1.5528117E+36	1.6820000E+00	2.8132783E-02	1.9061075E-02	3.0351218E-01	2.2361960E-01	2.1662752E-01	8.6318024E-03	0.0000000E+00	0.0000000E+00	1.6779394E-01	7.9814970E-02	4.6966465E-01	5.1928728E-01	5.0522193E-01	5.1019504E-01	4.9683687E-01	4.9813181E-01	5.1981758E-01	4.8627193E-01
4.5307604E+15	1.5511642E+36	1.6810000E+00	2.8137863E-02	1.9062177E-02	3.0355537E-01	2.2361398E-01	2.1665460E-01	8.6009770E-03	0.0000000E+00	0.0000000E+00	1.6781296E-01	7.9762117E-02	4.6956839E-01	5.1920967E-01	5.0522014E-01	5.1020790E-01	4.9689378E-01	4.9818886E-01	5.1988293E-01	4.8632435E-01
4.5270389E+15	1.5495173E+36	1.6800000E+00	2.8142981E-02	1.9063309E-02	3.0359865E-01	2.2360839E-01	2.1668171E-01	8.5701557E-03	0.0000000E+00	0.0000000E+00	1.6783194E-01	7.9709152E-02	4.6947213E-01	5.1913207E-01	5.0521840E-01	5.1022081E-01	4.9695074E-01	4.9824598E-01	5.1994835E-01	4.8637684E-01
4.5233186E+15	1.5478712E+36	1.6790000E+00	2.8148138E-02	1.9064471E-02	3.0364203E-01	2.2360283E-01	2.1670884E-01	8.5393386E-03	0.0000000E+00	0.0000000E+00	1.6785089E-01	7.9656073E-02	4.6937587E-01	5.1905448E-01	5.0521669E-01	5.1023377E-01	4.9700776E-01	4.9830314E-01	5.2001385E-01	4.8642938E-01
4.5195993E+15	1.5462257E+36	1.6780000E+00	2.8153333E-02	1.9065664E-02	3.0368550E-01	2.2359731E-01	2.1673599E-01	8.5085257E-03	0.0000000E+00	0.0000000E+00	1.6786979E-01	7.9602882E-02	4.6927962E-01	5.1897690E-01	5.0521504E-01	5.1024678E-01	4.9706484E-01	4.9836037E-01	5.2007941E-01	4.8648200E-01
4.5158811E+15	1.5445809E+36	1.6770000E+00	2.8158567E-02	1.9066887E-02	3.0372907E-01	2.2359183E-01	2.1676316E-01	8.4777173E-03	0.0000000E+00	0.0000000E+00	1.6788865E-01	7.9549577E-02	4.6918336E-01	5.1889934E-01	5.0521342E-01	5.1025984E-01	4.9712197E-01	4.9841765E-01	5.2014505E-01	4.8653468E-01
4.5121640E+15	1.5429368E+36	1.6760000E+00	2.8163840E-02	1.9068140E-02	3.0377272E-01	2.2358637E-01	2.1679036E-01	8.4469133E-03	0.0000000E+00	0.0000000E+00	1.6790748E-01	7.9496159E-02	4.6908711E-01	5.1882179E-01	5.0521185E-01	5.1027294E-01	4.9717916E-01	4.9847498E-01	5.2021077E-01	4.8658742E-01
4.5084480E+15	1.5412934E+36	1.6750000E+00	2.8169152E-02	1.9069424E-02	3.0381647E-01	2.2358095E-01	2.1681757E-01	8.4161139E-03	0.0000000E+00	0.0000000E+00	1.6792626E-01	7.9442626E-02	4.6899086E-01	5.1874425E-01	5.0521032E-01	5.1028610E-01	4.9723640E-01	4.9853237E-01	5.2027655E-01	4.8664023E-01
4.5047331E+15	1.5396507E+36	1.6740000E+00	2.8174502E-02	1.9070738E-02	3.0386032E-01	2.2357556E-01	2.1684481E-01	8.3853191E-03	0.0000000E+00	0.0000000E+00	1.6794501E-01	7.9388980E-02	4.6889462E-01	5.1866673E-01	5.0520884E-01	5.1029930E-01	4.9729370E-01	4.9858982E-01	5.2034241E-01	4.8669311E-01
4.5010193E+15	1.5380087E+36	1.6730000E+00	2.8179891E-02	1.9072083E-02	3.0390426E-01	2.2357021E-01	2.1687207E-01	8.3545292E-03	0.0000000E+00	0.0000000E+00	1.6796371E-01	7.9335220E-02	4.6879837E-01	5.1858922E-01	5.0520740E-01	5.1031256E-01	4.9735105E-01	4.9864733E-01	5.2040834E-01	4.8674605E-01
4.4973066E+15	1.5363674E+36	1.6720000E+00	2.8185320E-02	1.9073458E-02	3.0394829E-01	2.2356489E-01	2.1689936E-01	8.3237442E-03	0.0000000E+00	0.0000000E+00	1.6798237E-01	7.9281345E-02	4.6870213E-01	5.1851172E-01	5.0520601E-01	5.1032586E-01	4.9740847E-01	4.9870489E-01	5.2047434E-01	4.8679906E-01
4.4935950E+15	1.5347268E+36	1.6710000E+00	2.8190787E-02	1.9074864E-02	3.0399242E-01	2.2355961E-01	2.1692666E-01	8.2929641E-03	0.0000000E+00	0.0000000E+00	1.6800099E-01	7.9227356E-02	4.6860589E-01	5.1843423E-01	5.0520466E-01	5.1033922E-01	4.9746594E-01	4.9876251E-01	5.2054042E-01	4.8685213E-01
4.4898844E+15	1.5330868E+36	1.6700000E+00	2.8196294E-02	1.9076301E-02	3.0403664E-01	2.2355436E-01	2.1695399E-01	8.2621892E-03	0.0000000E+00	0.0000000E+00	1.6801957E-01	7.9173252E-02	4.6850965E-01	5.1835676E-01	5.0520336E-01	5.1035262E-01	4.9752346E-01	4.9882018E-01	5.2060657E-01	4.8690527E-01
4.4861750E+15	1.5314476E+36	1.6690000E+00	2.8201840E-02	1.9077769E-02	3.0408095E-01	2.2354914E-01	2.1698134E-01	8.2314195E-03	0.0000000E+00	0.0000000E+00	1.6803811E-01	7.9119033E-02	4.6841341E-01	5.1827930E-01	5.0520209E-01	5.1036608E-01	4.9758104E-01	4.9887792E-01	5.2067280E-01	4.8695848E-01
4.4824666E+15	1.5298091E+36	1.6680000E+00	2.8207425E-02	1.9079267E-02	3.0412537E-01	2.2354396E-01	2.1700872E-01	8.2006551E-03	0.0000000E+00	0.0000000E+00	1.6805661E-01	7.9064698E-02	4.6831718E-01	5.1820185E-01	5.0520088E-01	5.1037958E-01	4.9763868E-01	4.9893571E-01	5.2073909E-01	4.8701175E-01
4.4787594E+15	1.5281712E+36	1.6670000E+00	2.8213049E-02	1.9080796E-02	3.0416987E-01	2.2353881E-01	2.1703611E-01	8.1698961E-03	0.0000000E+00	0.0000000E+00	1.6807506E-01	7.9010249E-02	4.6822095E-01	5.1812441E-01	5.0519971E-01	5.1039313E-01	4.9769638E-01	4.9899355E-01	5.2080546E-01	4.8706509E-01
4.4750532E+15	1.5265340E+36	1.6660000E+00	2.8218714E-02	1.9082357E-02	3.0421447E-01	2.2353369E-01	2.1706353E-01	8.1391426E-03	0.0000000E+00	0.0000000E+00	1.6809348E-01	7.8955684E-02	4.6812472E-01	5.1804699E-01	5.0519858E-01	5.1040673E-01	4.9775413E-01	4.9905145E-01	5.2087191E-01	4.8711849E-01
4.4713481E+15	1.5248976E+36	1.6650000E+00	2.8224417E-02	1.9083948E-02	3.0425917E-01	2.2352861E-01	2.1709097E-01	8.1083948E-03	0.0000000E+00	0.0000000E+00	1.6811185E-01	7.8901003E-02	4.6802850E-01	5.1796958E-01	5.0519750E-01	5.1042039E-01	4.9781194E-01	4.9910941E-01	5.2093842E-01	4.8717197E-01
4.4676441E+15	1.5232618E+36	1.6640000E+00	2.8230160E-02	1.9085570E-02	3.0430396E-01	2.2352357E-01	2.1711843E-01	8.0776527E-03	0.0000000E+00	0.0000000E+00	1.6813018E-01	7.8846206E-02	4.6793227E-01	5.1789219E-01	5.0519646E-01	5.1043409E-01	4.9786981E-01	4.9916743E-01	5.2100502E-01	4.8722550E-01
4.4639413E+15	1.5216267E+36	1.6630000E+00	2.8235943E-02	1.9087224E-02	3.0434885E-01	2.2351855E-01	2.1714592E-01	8.0469165E-03	0.0000000E+00	0.0000000E+00	1.6814847E-01	7.8791294E-02	4.6783605E-01	5.1781481E-01	5.0519547E-01	5.1044784E-01	4.9792773E-01	4.9922551E-01	5.2107168E-01	4.8727911E-01
4.4602395E+15	1.5199924E+36	1.6620000E+00	2.8241766E-02	1.9088909E-02	3.0439383E-01	2.2351358E-01	2.1717342E-01	8.0161863E-03	0.0000000E+00	0.0000000E+00	1.6816672E-01	7.8736264E-02	4.6773984E-01	5.1773744E-01	5.0519452E-01	5.1046165E-01	4.9798571E-01	4.9928364E-01	5.2113842E-01	4.8733278E-01
4.4565388E+15	1.5183587E+36	1.6610000E+00	2.8247629E-02	1.9090624E-02	3.0443891E-01	2.2350863E-01	2.1720095E-01	7.9854621E-03	0.0000000E+00	0.0000000E+00	1.6818492E-01	7.8681119E-02	4.6764362E-01	5.1766008E-01	5.0519361E-01	5.1047550E-01	4.9804375E-01	4.9934183E-01	5.2120523E-01	4.8738652E-01
4.4528392E+15	1.5167257E+36	1.6600000E+00	2.8253531E-02	1.9092372E-02	3.0448409E-01	2.2350373E-01	2.1722851E-01	7.9547442E-03	0.0000000E+00	0.0000000E+00	1.6820308E-01	7.8625856E-02	4.6754741E-01	5.1758274E-01	5.0519276E-01	5.1048940E-01	4.9810184E-01	4.9940007E-01	5.2127212E-01	4.8744032E-01
4.4491406E+15	1.5150934E+36	1.6590000E+00	2.8259474E-02	1.9094150E-02	3.0452936E-01	2.2349885E-01	2.1725608E-01	7.9240325E-03	0.0000000E+00	0.0000000E+00	1.6822120E-01	7.8570477E-02	4.6745120E-01	5.1750542E-01	5.0519194E-01	5.1050336E-01	4.9815999E-01	4.9945838E-01	5.2133908E-01	4.8749419E-01
4.4454432E+15	1.5134618E+36	1.6580000E+00	2.8265456E-02	1.9095960E-02	3.0457473E-01	2.2349402E-01	2.1728368E-01	7.8933273E-03	0.0000000E+00	0.0000000E+00	1.6823927E-01	7.8514981E-02	4.6735499E-01	5.1742810E-01	5.0519118E-01	5.1051736E-01	4.9821820E-01	4.9951674E-01	5.2140612E-01	4.8754813E-01
4.4417469E+15	1.5118309E+36	1.6570000E+00	2.8271479E-02	1.9097802E-02	3.0462019E-01	2.2348921E-01	2.1731130E-01	7.8626286E-03	0.0000000E+00	0.0000000E+00	1.6825730E-01	7.8459367E-02	4.6725879E-01	5.1735080E-01	5.0519045E-01	5.1053142E-01	4.9827647E-01	4.9957516E-01	5.2147323E-01	4.8760213E-01
4.4380517E+15	1.5102007E+36	1.6560000E+00	2.8277542E-02	1.9099675E-02	3.0466576E-01	2.2348444E-01	2.1733894E-01	7.8319366E-03	0.0000000E+00	0.0000000E+00	1.6827529E-01	7.8403636E-02	4.6716259E-01	5.1727351E-01	5.0518978E-01	5.1054552E-01	4.9833480E-01	4.9963363E-01	5.2154041E-01	4.8765621E-01
4.4343576E+15	1.5085712E+36	1.6550000E+00	2.8283646E-02	1.9101579E-02	3.0471142E-01	2.2347971E-01	2.1736660E-01	7.8012513E-03	0.0000000E+00	0.0000000E+00	1.6829323E-01	7.8347787E-02	4.6706640E-01	5.1719624E-01	5.0518914E-01	5.1055968E-01	4.9839318E-01	4.9969217E-01	5.2160767E-01	4.8771035E-01
4.4306645E+15	1.5069424E+36	1.6540000E+00	2.8289789E-02	1.9103515E-02	3.0475717E-01	2.2347501E-01	2.1739429E-01	7.7705729E-03	0.0000000E+00	0.0000000E+00	1.6831113E-01	7.8291820E-02	4.6697020E-01	5.1711898E-01	5.0518856E-01	5.1057389E-01	4.9845162E-01	4.9975076E-01	5.2167501E-01	4.8776455E-01
4.4269726E+15	1.5053142E+36	1.6530000E+00	2.8295974E-02	1.9105483E-02	3.0480303E-01	2.2347035E-01	2.1742200E-01	7.7399015E-03	0.0000000E+00	0.0000000E+00	1.6832899E-01	7.8235735E-02	4.6687401E-01	5.1704174E-01	5.0518802E-01	5.1058814E-01	4.9851012E-01	4.9980941E-01	5.2174242E-01	4.8781883E-01
4.4232817E+15	1.5036868E+36	1.6520000E+00	2.8302198E-02	1.9107483E-02	3.0484898E-01	2.2346572E-01	2.1744973E-01	7.7092373E-03	0.0000000E+00	0.0000000E+00	1.6834680E-01	7.8179532E-02	4.6677783E-01	5.1696450E-01	5.0518752E-01	5.1060245E-01	4.9856867E-01	4.9986812E-01	5.2180990E-01	4.8787317E-01
4.4195920E+15	1.5020601E+36	1.6510000E+00	2.8308464E-02	1.9109514E-02	3.0489503E-01	2.2346113E-01	2.1747748E-01	7.6785803E-03	0.0000000E+00	0.0000000E+00	1.6836457E-01	7.8123210E-02	4.6668164E-01	5.1688729E-01	5.0518707E-01	5.1061681E-01	4.9862729E-01	4.9992689E-01	5.2187746E-01	4.8792758E-01
4.4159033E+15	1.5004341E+36	1.6500000E+00	2.8314770E-02	1.9111578E-02	3.0494118E-01	2.2345657E-01	2.1750526E-01	7.6479306E-03	0.0000000E+00	0.0000000E+00	1.6838229E-01	7.8066769E-02	4.6658546E-01	5.1681008E-01	5.0518667E-01	5.1063122E-01	4.9868596E-01	4.9998571E-01	5.2194509E-01	4.8798206E-01
4.4122158E+15	1.4988087E+36	1.6490000E+00	2.8321117E-02	1.9113673E-02	3.0498742E-01	2.2345205E-01	2.1753306E-01	7.6172885E-03	0.0000000E+00	0.0000000E+00	1.6839997E-01	7.8010210E-02	4.6648929E-01	5.1673289E-01	5.0518631E-01	5.1064568E-01	4.9874469E-01	5.0004460E-01	5.2201280E-01	4.8803660E-01
4.4085293E+15	1.4971841E+36	1.6480000E+00	2.8327505E-02	1.9115800E-02	3.0503376E-01	2.2344757E-01	2.1756088E-01	7.5866539E-03	0.0000000E+00	0.0000000E+00	1.6841761E-01	7.7953531E-02	4.6639311E-01	5.1665572E-01	5.0518600E-01	5.1066020E-01	4.9880348E-01	5.0010354E-01	5.2208058E-01	4.8809122E-01
4.4048440E+15	1.4955602E+36	1.6470000E+00	2.8333933E-02	1.9117960E-02	3.0508021E-01	2.2344312E-01	2.1758872E-01	7.5560270E-03	0.0000000E+00	0.0000000E+00	1.6843520E-01	7.7896733E-02	4.6629694E-01	5.1657856E-01	5.0518574E-01	5.1067476E-01	4.9886232E-01	5.0016254E-01	5.2214844E-01	4.8814590E-01
4.4011597E+15	1.4939370E+36	1.6460000E+00	2.8340403E-02	1.9120151E-02	3.0512675E-01	2.2343870E-01	2.1761659E-01	7.5254081E-03	0.0000000E+00	0.0000000E+00	1.6845274E-01	7.7839816E-02	4.6620078E-01	5.1650141E-01	5.0518552E-01	5.1068937E-01	4.9892123E-01	5.0022160E-01	5.2221637E-01	4.8820065E-01
4.3974765E+15	1.4923144E+36	1.6450000E+00	2.8346914E-02	1.9122375E-02	3.0517339E-01	2.2343432E-01	2.1764448E-01	7.4947970E-03	0.0000000E+00	0.0000000E+00	1.6847024E-01	7.7782779E-02	4.6610462E-01	5.1642428E-01	5.0518534E-01	5.1070404E-01	4.9898019E-01	5.0028071E-01	5.2228438E-01	4.8825546E-01
4.3937944E+15	1.4906926E+36	1.6440000E+00	2.8353466E-02	1.9124631E-02	3.0522013E-01	2.2342998E-01	2.1767239E-01	7.4641941E-03	0.0000000E+00	0.0000000E+00	1.6848769E-01	7.7725621E-02	4.6600846E-01	5.1634716E-01	5.0518522E-01	5.1071876E-01	4.9903922E-01	5.0033989E-01	5.2235246E-01	4.8831035E-01
4.3901135E+15	1.4890715E+36	1.6430000E+00	2.8360059E-02	1.9126919E-02	3.0526697E-01	2.2342567E-01	2.1770032E-01	7.4335995E-03	0.0000000E+00	0.0000000E+00	1.6850510E-01	7.7668344E-02	4.6591231E-01	5.1627005E-01	5.0518514E-01	5.1073353E-01	4.9909830E-01	5.0039912E-01	5.2242062E-01	4.8836530E-01
4.3864336E+15	1.4874510E+36	1.6420000E+00	2.8366694E-02	1.9129240E-02	3.0531390E-01	2.2342140E-01	2.1772828E-01	7.4030131E-03	0.0000000E+00	0.0000000E+00	1.6852246E-01	7.7610947E-02	4.6581616E-01	5.1619296E-01	5.0518510E-01	5.1074835E-01	4.9915743E-01	5.0045842E-01	5.2248886E-01	4.8842033E-01
4.3827548E+15	1.4858313E+36	1.6410000E+00	2.8373370E-02	1.9131592E-02	3.0536094E-01	2.2341717E-01	2.1775626E-01	7.3724353E-03	0.0000000E+00	0.0000000E+00	1.6853977E-01	7.7553428E-02	4.6572001E-01	5.1611589E-01	5.0518511E-01	5.1076322E-01	4.9921663E-01	5.0051777E-01	5.2255717E-01	4.8847542E-01
4.3790771E+15	1.4842123E+36	1.6400000E+00	2.8380088E-02	1.9133978E-02	3.0540808E-01	2.2341297E-01	2.1778426E-01	7.3418660E-03	0.0000000E+00	0.0000000E+00	1.6855704E-01	7.7495790E-02	4.6562387E-01	5.1603883E-01	5.0518517E-01	5.1077814E-01	4.9927589E-01	5.0057718E-01	5.2262555E-01	4.8853058E-01
4.3754005E+15	1.4825940E+36	1.6390000E+00	2.8386847E-02	1.9136396E-02	3.0545531E-01	2.2340881E-01	2.1781228E-01	7.3113055E-03	0.0000000E+00	0.0000000E+00	1.6857426E-01	7.7438030E-02	4.6552773E-01	5.1596178E-01	5.0518528E-01	5.1079312E-01	4.9933520E-01	5.0063665E-01	5.2269402E-01	4.8858580E-01
4.3717251E+15	1.4809763E+36	1.6380000E+00	2.8393648E-02	1.9138847E-02	3.0550265E-01	2.2340468E-01	2.1784033E-01	7.2807539E-03	0.0000000E+00	0.0000000E+00	1.6859143E-01	7.7380149E-02	4.6543160E-01	5.1588475E-01	5.0518543E-01	5.1080814E-01	4.9939458E-01	5.0069618E-01	5.2276255E-01	4.8864110E-01
4.3680507E+15	1.4793594E+36	1.6370000E+00	2.8400491E-02	1.9141330E-02	3.0555009E-01	2.2340059E-01	2.1786840E-01	7.2502112E-03	0.0000000E+00	0.0000000E+00	1.6860856E-01	7.7322146E-02	4.6533547E-01	5.1580773E-01	5.0518563E-01	5.1082322E-01	4.9945401E-01	5.0075577E-01	5.2283117E-01	4.8869647E-01
4.3643774E+15	1.4777432E+36	1.6360000E+00	2.8407375E-02	1.9143846E-02	3.0559763E-01	2.2339654E-01	2.1789649E-01	7.2196777E-03	0.0000000E+00	0.0000000E+00	1.6862564E-01	7.7264022E-02	4.6523934E-01	5.1573073E-01	5.0518587E-01	5.1083835E-01	4.9951351E-01	5.0081542E-01	5.2289986E-01	4.8875190E-01
4.3607052E+15	1.4761277E+36	1.6350000E+00	2.8414302E-02	1.9146395E-02	3.0564527E-01	2.2339252E-01	2.1792460E-01	7.1891535E-03	0.0000000E+00	0.0000000E+00	1.6864267E-01	7.7205777E-02	4.6514322E-01	5.1565374E-01	5.0518617E-01	5.1085353E-01	4.9957306E-01	5.0087512E-01	5.2296862E-01	4.8880741E-01
4.3570341E+15	1.4745128E+36	1.6340000E+00	2.8421270E-02	1.9148976E-02	3.0569301E-01	2.2338855E-01	2.1795274E-01	7.1586386E-03	0.0000000E+00	0.0000000E+00	1.6865966E-01	7.7147409E-02	4.6504710E-01	5.1557677E-01	5.0518651E-01	5.1086877E-01	4.9963267E-01	5.0093489E-01	5.2303747E-01	4.8886298E-01
