#mu_b [MeV]	pr[MeV/fm3]	e[MeV/fm3]	n_b[1/fm3]	n_n[1/fm3]	n_p[1/fm3]	m_n/M_n	 m_p/M_n	n_e[1/fm3]	n_mu[1/fm3]	n_u[1/fm3]	n_d[1/fm3]	n_s[1/fm3]	mu_e [MeV]	Y_p
931.11	2.42986e-07	0.000587248	6.30957e-07	3.65815e-07	2.65142e-07	1	1	2.65142e-07	0	0	0	0	3.90548	0.420222
931.158	2.74358e-07	0.000643929	6.91831e-07	4.01595e-07	2.90236e-07	1	1	2.90236e-07	0	0	0	0	4.02293	0.419518
931.207	3.09796e-07	0.000706083	7.58578e-07	4.4089e-07	3.17688e-07	1	1	3.17688e-07	0	0	0	0	4.14396	0.418794
931.257	3.49846e-07	0.000774236	8.31764e-07	4.84046e-07	3.47718e-07	1	1	3.47718e-07	0	0	0	0	4.26867	0.418049
931.309	3.9497e-07	0.000848969	9.12011e-07	5.31444e-07	3.80567e-07	1	1	3.80567e-07	0	0	0	0	4.39716	0.417283
931.362	4.45687e-07	0.000930916	1e-06	5.83506e-07	4.16494e-07	1	1	4.16494e-07	0	0	0	0	4.52954	0.416494
931.416	5.0284e-07	0.00102077	1.09648e-06	6.40692e-07	4.55786e-07	1	1	4.55786e-07	0	0	0	0	4.66592	0.415682
931.472	5.67313e-07	0.00111931	1.20226e-06	7.03509e-07	4.98756e-07	1	1	4.98756e-07	0	0	0	0	4.80641	0.414847
931.53	6.40083e-07	0.00122736	1.31826e-06	7.72513e-07	5.45744e-07	1	1	5.45744e-07	0	0	0	0	4.95112	0.413989
931.589	7.22083e-07	0.00134583	1.44544e-06	8.48323e-07	5.97117e-07	1	1	5.97117e-07	0	0	0	0	5.10017	0.413104
931.65	8.1462e-07	0.00147575	1.58489e-06	9.31611e-07	6.53283e-07	1	1	6.53283e-07	0	0	0	0	5.25367	0.412193
931.713	9.19156e-07	0.00161821	1.7378e-06	1.02312e-06	7.14683e-07	1	1	7.14683e-07	0	0	0	0	5.41177	0.411257
931.778	1.03719e-06	0.00177443	1.90546e-06	1.12366e-06	7.818e-07	1	1	7.818e-07	0	0	0	0	5.57457	0.410295
931.844	1.16963e-06	0.00194573	2.0893e-06	1.23414e-06	8.55154e-07	1	1	8.55154e-07	0	0	0	0	5.74221	0.409302
931.912	1.31828e-06	0.00213357	2.29087e-06	1.35555e-06	9.35322e-07	1	1	9.35322e-07	0	0	0	0	5.91483	0.408283
931.982	1.48562e-06	0.00233955	2.51189e-06	1.48896e-06	1.02293e-06	1	1	1.02293e-06	0	0	0	0	6.09255	0.407235
932.053	1.67381e-06	0.00256541	2.75423e-06	1.63558e-06	1.11865e-06	1	1	1.11865e-06	0	0	0	0	6.27552	0.406156
