#mu_b [MeV]	pr[MeV/fm3]	e[MeV/fm3]	n_b[1/fm3]	n_n[1/fm3]	n_p[1/fm3]	m_n/M_n	 m_p/M_n	n_e[1/fm3]	n_mu[1/fm3]	n_u[1/fm3]	n_d[1/fm3]	n_s[1/fm3]	mu_e [MeV]	Y_p
941.375	0.00690963	5.41014	0.0057544	0.0055232	0.0002312	1	1	0.0002312	0	0	0	0	36.9305	0.040178
941.514	0.00774795	5.9328	0.00630957	0.00606669	0.000242887	1	1	0.000242887	0	0	0	0	37.5453	0.038495
941.657	0.00869056	6.50598	0.00691831	0.00666292	0.000255389	1	1	0.000255389	0	0	0	0	38.1821	0.0369149
941.803	0.00975068	7.13456	0.00758578	0.00731698	0.000268793	1	1	0.000268793	0	0	0	0	38.8427	0.0354338
941.953	0.0109441	7.82388	0.00831764	0.00803448	0.00028316	1	1	0.00028316	0	0	0	0	39.5275	0.0340433
942.108	0.0122894	8.57983	0.00912011	0.00882152	0.000298588	1	1	0.000298588	0	0	0	0	40.2381	0.0327396
942.267	0.013809	9.40886	0.01	0.00968482	0.00031518	1	1	0.00031518	0	0	0	0	40.9762	0.031518
942.431	0.01553	10.318	0.0109648	0.0106317	0.000333045	1	1	0.000333045	0	0	0	0	41.7432	0.0303741
942.601	0.0174865	11.3151	0.0120226	0.0116703	0.00035239	1	1	0.00035239	0	0	0	0	42.5439	0.0293105
942.779	0.0197203	12.4085	0.0131826	0.0128092	0.000373358	1	1	0.000373358	0	0	0	0	43.3801	0.0283221
942.965	0.0222847	13.6077	0.0144544	0.0140582	0.000396211	1	1	0.000396211	0	0	0	0	44.257	0.0274111
943.161	0.0252477	14.9228	0.0158489	0.0154277	0.000421239	1	1	0.000421239	0	0	0	0	45.1799	0.0265784
943.368	0.0286958	16.3652	0.017378	0.0169291	0.000448876	1	1	0.000448876	0	0	0	0	46.1578	0.0258301
943.591	0.0327409	17.947	0.0190546	0.018575	0.000479578	1	1	0.000479578	0	0	0	0	47.1983	0.0251686
943.83	0.0375263	19.6819	0.020893	0.020379	0.000513986	1	1	0.000513986	0	0	0	0	48.3129	0.0246009
944.091	0.0432361	21.5847	0.0229087	0.0223558	0.000552897	1	1	0.000552897	0	0	0	0	49.5148	0.0241348
944.378	0.0501049	23.6716	0.0251189	0.0245215	0.000597333	1	1	0.000597333	0	0	0	0	50.8199	0.0237803
944.694	0.0584308	25.9606	0.0275423	0.0268937	0.000648551	1	1	0.000648551	0	0	0	0	52.2457	0.0235475
945.046	0.0685881	28.4713	0.0301995	0.0294914	0.000708154	1	1	0.000708154	0	0	0	0	53.813	0.0234492
945.439	0.0810425	31.2254	0.0331131	0.032335	0.000778121	1	1	0.000778121	0	0	0	0	55.5439	0.0234989
945.881	0.0963651	34.2465	0.0363078	0.0354469	0.000860934	1	1	0.000860934	0	0	0	0	57.4633	0.0237121
946.377	0.115247	37.5607	0.0398107	0.0388511	0.000959635	1	1	0.000959635	0	0	0	0	59.5969	0.0241049
946.934	0.13851	41.1967	0.0436516	0.0425736	0.00107797	1	1	0.00107797	0	0	0	0	61.9721	0.0246949
947.559	0.167109	45.1859	0.047863	0.0466425	0.0012205	1	1	0.0012205	0	0	0	0	64.6164	0.0254999
948.256	0.202127	49.5631	0.0524807	0.0510881	0.00139265	1	1	0.00139265	0	0	0	0	67.5572	0.0265365
949.043	0.244994	54.3667	0.057544	0.0559605	0.00158347	1	1	0.00158347	0	0	0	0	70.5698	0.0275176
949.758	0.28839	59.6373	0.0630957	0.0612861	0.00180967	1	1	0.00180967	0	0	0	0	74.3851	0.0286813
950.755	0.35378	65.4224	0.0691831	0.067044	0.00213906	1	1	0.00213906	0	0	0	0	78.6581	0.0309188
951.915	0.437921	71.7722	0.0758578	0.0733255	0.00253227	1	1	0.00253227	0	0	0	0	83.2092	0.0333818
953.244	0.543666	78.7437	0.0831764	0.0801905	0.00298592	1	1	0.00298592	0	0	0	0	87.9076	0.0358986
954.777	0.677393	86.3993	0.0912011	0.0876941	0.00350701	1	1	0.00350701	0	0	0	0	92.7497	0.0384536
956.563	0.848133	94.8081	0.1	0.0958967	0.00410328	1	1	0.00410328	0	0	0	0	97.7334	0.0410328
