#       rho                     pressure          baryon number density             ne                     nmu
#       cgs                        cgs                   fm-3                   fm-3                   fm-3               
  0.7414094129509744E+07  0.4562682520514965E+24  0.4465766381447804E-08  0.2567816663083135E-10  0.0000000000000000E+00
  0.7710657894690135E+07  0.4831955356026725E+24  0.4644384104542202E-08  0.2670521934946213E-10  0.0000000000000000E+00
  0.8019084210477741E+07  0.5116725714470810E+24  0.4830145793344267E-08  0.2777334993707014E-10  0.0000000000000000E+00
  0.8339847578896850E+07  0.5417864782445005E+24  0.5023337165147163E-08  0.2888420127348894E-10  0.0000000000000000E+00
  0.8673441482052725E+07  0.5736291672533716E+24  0.5224255363681724E-08  0.3003948194100913E-10  0.0000000000000000E+00
  0.9020379141334834E+07  0.6072976009257030E+24  0.5433209416051531E-08  0.3124096885179092E-10  0.0000000000000000E+00
  0.9381194306988228E+07  0.6428940652226707E+24  0.5650520707938713E-08  0.3249050998033640E-10  0.0000000000000000E+00
  0.9756442079267757E+07  0.6805264563684370E+24  0.5876523477810908E-08  0.3379002720522154E-10  0.0000000000000000E+00
  0.1014669976243847E+08  0.7203085827973035E+24  0.6111565330889066E-08  0.3514151926445659E-10  0.0000000000000000E+00
  0.1055256775293601E+08  0.7623604830881055E+24  0.6356007773666122E-08  0.3654706482901754E-10  0.0000000000000000E+00
  0.1097467046305345E+08  0.8068087607213408E+24  0.6610226769798104E-08  0.3800882569927324E-10  0.0000000000000000E+00
  0.1141365728157558E+08  0.8537869365366410E+24  0.6874613318222178E-08  0.3952905012922165E-10  0.0000000000000000E+00
  0.1187020357283861E+08  0.9034358198149266E+24  0.7149574054390181E-08  0.4111007628364488E-10  0.0000000000000000E+00
  0.1234501171575215E+08  0.9559038989560794E+24  0.7435531875541778E-08  0.4275433583349713E-10  0.0000000000000000E+00
  0.1283881218438224E+08  0.1011347752773714E+25  0.7732926590978299E-08  0.4446435769505204E-10  0.0000000000000000E+00
  0.1335236467175753E+08  0.1069932483481668E+25  0.8042215598336698E-08  0.4624277191855662E-10  0.0000000000000000E+00
  0.1388645925862783E+08  0.1131832172501148E+25  0.8363874586903093E-08  0.4809231373236937E-10  0.0000000000000000E+00
  0.1444191762897294E+08  0.1197230360276928E+25  0.8698398269046773E-08  0.5001582774879775E-10  0.0000000000000000E+00
  0.1501959433413186E+08  0.1266320551351585E+25  0.9046301140898928E-08  0.5201627233810059E-10  0.0000000000000000E+00
  0.1562037810749714E+08  0.1339306746011331E+25  0.9408118273445097E-08  0.5409672417737730E-10  0.0000000000000000E+00
  0.1624519323179702E+08  0.1416403999884359E+25  0.9784406135247237E-08  0.5626038298133640E-10  0.0000000000000000E+00
  0.1689500096106891E+08  0.1497839012944553E+25  0.1017574344805977E-07  0.5851057642221367E-10  0.0000000000000000E+00
  0.1757080099951166E+08  0.1583850749447257E+25  0.1058273207665458E-07  0.6085076524640229E-10  0.0000000000000000E+00
  0.1827363303949213E+08  0.1674691090402786E+25  0.1100599795422246E-07  0.6328454859565849E-10  0.0000000000000000E+00
  0.1900457836107182E+08  0.1770625520276460E+25  0.1144619204477314E-07  0.6581566954106115E-10  0.0000000000000000E+00
  0.1976476149551469E+08  0.1871933849690166E+25  0.1190399134401292E-07  0.6844802083823078E-10  0.0000000000000000E+00
  0.2055535195533528E+08  0.1978910975991748E+25  0.1238009992023799E-07  0.7118565091265246E-10  0.0000000000000000E+00
  0.2137756603354869E+08  0.2091867683655281E+25  0.1287524999684302E-07  0.7403277008430207E-10  0.0000000000000000E+00
  0.2223266867489064E+08  0.2211131486574796E+25  0.1339020307810848E-07  0.7699375704114144E-10  0.0000000000000000E+00
  0.2312197542188627E+08  0.2337047514422157E+25  0.1392575111999671E-07  0.8007316557143189E-10  0.0000000000000000E+00
  0.2404685443876172E+08  0.2469979445348803E+25  0.1448271774775578E-07  0.8327573156521168E-10  0.0000000000000000E+00
  0.2500872861631219E+08  0.2610310487429728E+25  0.1506195952220229E-07  0.8660638029569789E-10  0.0000000000000000E+00
  0.2600907776096468E+08  0.2758444411371533E+25  0.1566436725662867E-07  0.9007023399180246E-10  0.0000000000000000E+00
  0.2704944087140327E+08  0.2914806637134950E+25  0.1629086738635874E-07  0.9367261971339911E-10  0.0000000000000000E+00
  0.2813141850625940E+08  0.3079845377257834E+25  0.1694242339305575E-07  0.9741907754144406E-10  0.0000000000000000E+00
  0.2925667524650977E+08  0.3254032839809608E+25  0.1762003728597145E-07  0.1013153690955362E-09  0.0000000000000000E+00
  0.3042694225637016E+08  0.3437866494056343E+25  0.1832475114241224E-07  0.1053674863920055E-09  0.0000000000000000E+00
  0.3164401994662497E+08  0.3631870402075476E+25  0.1905764870978905E-07  0.1095816610561423E-09  0.0000000000000000E+00
  0.3290978074448997E+08  0.3836596619723264E+25  0.1981985707171266E-07  0.1139643739027230E-09  0.0000000000000000E+00
  0.3422617197426957E+08  0.4052626670534822E+25  0.2061254838069416E-07  0.1185223648995549E-09  0.0000000000000000E+00
  0.3559521885324036E+08  0.4280573096317624E+25  0.2143694166011263E-07  0.1232626435293493E-09  0.0000000000000000E+00
  0.3701902760736997E+08  0.4521081088396150E+25  0.2229430467821864E-07  0.1281924995658465E-09  0.0000000000000000E+00
  0.3849978871166477E+08  0.4774830203661677E+25  0.2318595589705255E-07  0.1333195142807502E-09  0.0000000000000000E+00
  0.4003978026013137E+08  0.5042536169802291E+25  0.2411326649927187E-07  0.1386515720986919E-09  0.0000000000000000E+00
  0.4164137147053662E+08  0.5324952784304434E+25  0.2507766249600134E-07  0.1441968727181344E-09  0.0000000000000000E+00
  0.4330702632935809E+08  0.5622873912058289E+25  0.2608062691894401E-07  0.1499639437168379E-09  0.0000000000000000E+00
  0.4503930738253241E+08  0.5937135586644133E+25  0.2712370210012083E-07  0.1559616536612577E-09  0.0000000000000000E+00
  0.4684087967783371E+08  0.6268618220636612E+25  0.2820849204274091E-07  0.1621992257400161E-09  0.0000000000000000E+00
  0.4871451486494706E+08  0.6618248930538644E+25  0.2933666488684450E-07  0.1686862519423969E-09  0.0000000000000000E+00
  0.5066309545954494E+08  0.6987003982243776E+25  0.3050995547350616E-07  0.1754327078036459E-09  0.0000000000000000E+00
  0.5268961927792674E+08  0.7375911363224426E+25  0.3173016801153713E-07  0.1824489677397343E-09  0.0000000000000000E+00
  0.5479720404904381E+08  0.7786053487968132E+25  0.3299917885078305E-07  0.1897458209951455E-09  0.0000000000000000E+00
  0.5698909221100557E+08  0.8218570043507317E+25  0.3431893936627697E-07  0.1973344882281875E-09  0.0000000000000000E+00
  0.5926865589944579E+08  0.8674660982249447E+25  0.3569147895767764E-07  0.2052266387593125E-09  0.0000000000000000E+00
  0.6163940213542363E+08  0.9155589669674214E+25  0.3711890816860034E-07  0.2134344085089461E-09  0.0000000000000000E+00
  0.6410497822084058E+08  0.9662686194856237E+25  0.3860342193063119E-07  0.2219704186523814E-09  0.0000000000000000E+00
  0.6666917734967421E+08  0.1019735085217967E+26  0.4014730293700755E-07  0.2308477950204023E-09  0.0000000000000000E+00
  0.6933594444366118E+08  0.1076105780303250E+26  0.4175292515114591E-07  0.2400801882754396E-09  0.0000000000000000E+00
  0.7210938222140764E+08  0.1135535892672826E+26  0.4342275745540625E-07  0.2496817948942593E-09  0.0000000000000000E+00
  0.7499375751026395E+08  0.1198188787036631E+26  0.4515936744569612E-07  0.2596673789894166E-09  0.0000000000000000E+00
  0.7799350781067450E+08  0.1264236430784406E+26  0.4696542537774248E-07  0.2700522950030027E-09  0.0000000000000000E+00
  0.8111324812310149E+08  0.1333859841875152E+26  0.4884370827109183E-07  0.2808525113075459E-09  0.0000000000000000E+00
  0.8435777804802555E+08  0.1407249559843634E+26  0.5079710417714072E-07  0.2920846347503269E-09  0.0000000000000000E+00
  0.8773208916994657E+08  0.1484606141109719E+26  0.5282861661775163E-07  0.3037659361788136E-09  0.0000000000000000E+00
  0.9124137273674443E+08  0.1566140679836468E+26  0.5494136920126956E-07  0.3159143769864281E-09  0.0000000000000000E+00
  0.9489102764621422E+08  0.1652075355648398E+26  0.5713861042302849E-07  0.3285486367194296E-09  0.0000000000000000E+00
  0.9868666875206278E+08  0.1742644009586395E+26  0.5942371865771852E-07  0.3416881417873200E-09  0.0000000000000000E+00
  0.1026341355021453E+09  0.1838092749747421E+26  0.6180020735128020E-07  0.3553530953208811E-09  0.0000000000000000E+00
  0.1067395009222311E+09  0.1938680588130213E+26  0.6427173042029773E-07  0.3695645082237093E-09  0.0000000000000000E+00
  0.1110090809591204E+09  0.2044680110287308E+26  0.6684208786718195E-07  0.3843442314649513E-09  0.0000000000000000E+00
  0.1154494441974852E+09  0.2156378179463762E+26  0.6951523161976439E-07  0.3997149896628461E-09  0.0000000000000000E+00
  0.1200674219653846E+09  0.2274076676990345E+26  0.7229527160426905E-07  0.4157004160106693E-09  0.0000000000000000E+00
  0.1248701188440000E+09  0.2398093280788171E+26  0.7518648206098519E-07  0.4323250885987254E-09  0.0000000000000000E+00
  0.1298649235977600E+09  0.2528762283938054E+26  0.7819330811233836E-07  0.4496145681881911E-09  0.0000000000000000E+00
  0.1350595205416704E+09  0.2666435455365726E+26  0.8132037259344305E-07  0.4675954374948344E-09  0.0000000000000000E+00
  0.1404619013633372E+09  0.2811482944800901E+26  0.8457248315562366E-07  0.4862953420429579E-09  0.0000000000000000E+00
