#       rho                     pressure          baryon number density             ne                     nmu
#       cgs                        cgs                   fm-3                   fm-3                   fm-3               
  0.1328696838385476E+11  0.1073042019342150E+29  0.7981624416156459E-05  0.4592606836550409E-07  0.0000000000000000E+00
  0.1381844711920895E+11  0.1128235517599070E+29  0.8300580063806121E-05  0.4776264942254851E-07  0.0000000000000000E+00
  0.1437118500397730E+11  0.1186251922769174E+29  0.8632278221818334E-05  0.4967271066397226E-07  0.0000000000000000E+00
  0.1494603240413640E+11  0.1247234492832063E+29  0.8977227816256401E-05  0.5165919558618079E-07  0.0000000000000000E+00
  0.1554387370030185E+11  0.1311333643587111E+29  0.9335958093653628E-05  0.5372516592710444E-07  0.0000000000000000E+00
  0.1616562864831393E+11  0.1378707293335495E+29  0.9709019432205417E-05  0.5587380644447889E-07  0.0000000000000000E+00
  0.1681225379424649E+11  0.1449521222639658E+29  0.1009698418534284E-04  0.5810842988959545E-07  0.0000000000000000E+00
  0.1748474394601635E+11  0.1523949449642299E+29  0.1050044755898062E-04  0.6043248218471099E-07  0.0000000000000000E+00
  0.1818413370385700E+11  0.1602174621420922E+29  0.1092002852378414E-04  0.6284954781266568E-07  0.0000000000000000E+00
  0.1891149905201128E+11  0.1684388421844399E+29  0.1135637076385373E-04  0.6536335542763129E-07  0.0000000000000000E+00
  0.1966795901409174E+11  0.1770791996385364E+29  0.1181014366328042E-04  0.6797778369630721E-07  0.0000000000000000E+00
  0.2045467737465541E+11  0.1861596394325779E+29  0.1228204333208547E-04  0.7069686737929182E-07  0.0000000000000000E+00
  0.2127286446964162E+11  0.1957023028770584E+29  0.1277279367311630E-04  0.7352480366278951E-07  0.0000000000000000E+00
  0.2212377904842729E+11  0.2057304154859720E+29  0.1328314749153442E-04  0.7646595875126486E-07  0.0000000000000000E+00
  0.2300873021036438E+11  0.2162683366536159E+29  0.1381388764859625E-04  0.7952487473213057E-07  0.0000000000000000E+00
  0.2392907941877896E+11  0.2273416112190683E+29  0.1436582826149568E-04  0.8270627672405162E-07  0.0000000000000000E+00
  0.2488624259553012E+11  0.2389770229461245E+29  0.1493981595110791E-04  0.8601508032097108E-07  0.0000000000000000E+00
  0.2588169229935133E+11  0.2512026499415296E+29  0.1553673113954769E-04  0.8945639934450808E-07  0.0000000000000000E+00
  0.2691695999132538E+11  0.2640479220284352E+29  0.1615748939953141E-04  0.9303555391795428E-07  0.0000000000000000E+00
  0.2799363839097839E+11  0.2775436800859561E+29  0.1680304285761223E-04  0.9675807887569670E-07  0.0000000000000000E+00
  0.2911338392661753E+11  0.2917222373582781E+29  0.1747438165343971E-04  0.1006297325225270E-06  0.0000000000000000E+00
  0.3027791928368223E+11  0.3066174427289808E+29  0.1817253545728195E-04  0.1046565057579633E-06  0.0000000000000000E+00
  0.3148903605502952E+11  0.3222647459477120E+29  0.1889857504813731E-04  0.1088446315814063E-06  0.0000000000000000E+00
  0.3274859749723071E+11  0.3387012647868029E+29  0.1965361395485580E-04  0.1132005949946882E-06  0.0000000000000000E+00
  0.3405854139711993E+11  0.3559658540956441E+29  0.2043881016278726E-04  0.1177311433193401E-06  0.0000000000000000E+00
  0.3542088305300473E+11  0.3740991767099541E+29  0.2125536788857368E-04  0.1224432969467181E-06  0.0000000000000000E+00
  0.3683771837512492E+11  0.3931437761624433E+29  0.2210453942580801E-04  0.1273443605399784E-06  0.0000000000000000E+00
  0.3831122711012992E+11  0.4131441511298539E+29  0.2298762706439020E-04  0.1324419347077910E-06  0.0000000000000000E+00
  0.3984367619453512E+11  0.4341468315407881E+29  0.2390598508652500E-04  0.1377439281706253E-06  0.0000000000000000E+00
  0.4143742324231652E+11  0.4562004562579017E+29  0.2486102184242291E-04  0.1432585704414339E-06  0.0000000000000000E+00
  0.4309492017200919E+11  0.4793558522387767E+29  0.2585420190888896E-04  0.1489944250436117E-06  0.0000000000000000E+00
  0.4481871697888956E+11  0.5036661150714867E+29  0.2688704833411052E-04  0.1549604032902070E-06  0.0000000000000000E+00
  0.4661146565804514E+11  0.5291866907755637E+29  0.2796114497208835E-04  0.1611657786495262E-06  0.0000000000000000E+00
  0.4847592428436695E+11  0.5559754587569423E+29  0.2907813891029232E-04  0.1676202017235009E-06  0.0000000000000000E+00
  0.5041496125574163E+11  0.5840928158077232E+29  0.3023974299426676E-04  0.1743337158664746E-06  0.0000000000000000E+00
  0.5243155970597130E+11  0.6136017610506974E+29  0.3144773845305900E-04  0.1813167734734355E-06  0.0000000000000000E+00
  0.5452882209421015E+11  0.6445679817452270E+29  0.3270397762949981E-04  0.1885802529681599E-06  0.0000000000000000E+00
  0.5670997497797856E+11  0.6770599398991298E+29  0.3401038681952552E-04  0.1961354765232472E-06  0.0000000000000000E+00
  0.5897837397709771E+11  0.7111489596717648E+29  0.3536896922489859E-04  0.2039942285456382E-06  0.0000000000000000E+00
  0.6133750893618162E+11  0.7469093156121593E+29  0.3678180802385845E-04  0.2121687749629001E-06  0.0000000000000000E+00
  0.6379100929362888E+11  0.7844183218555827E+29  0.3825106956441486E-04  0.2206718833473565E-06  0.0000000000000000E+00
  0.6634264966537404E+11  0.8237564225085316E+29  0.3977900668518482E-04  0.2295168439170337E-06  0.0000000000000000E+00
  0.6899635565198900E+11  0.8650072835913698E+29  0.4136796216886984E-04  0.2387174914544015E-06  0.0000000000000000E+00
  0.7175620987806856E+11  0.9082578870889017E+29  0.4302037233367446E-04  0.2482882281860052E-06  0.0000000000000000E+00
  0.7462645827319130E+11  0.9535986278887610E+29  0.4473877076817813E-04  0.2582440476683314E-06  0.0000000000000000E+00
  0.7761151660411896E+11  0.1001123414679681E+30  0.4652579221539404E-04  0.2686005597276276E-06  0.0000000000000000E+00
  0.8071597726828372E+11  0.1050929776246919E+30  0.4838417661197641E-04  0.2793740165039132E-06  0.0000000000000000E+00
  0.8394461635901508E+11  0.1103118975057521E+30  0.5031677328877731E-04  0.2905813396520853E-06  0.0000000000000000E+00
  0.8730240101337569E+11  0.1157796130591774E+30  0.5232654533920117E-04  0.3022401487558566E-06  0.0000000000000000E+00
  0.9079449705391072E+11  0.1215070355569699E+30  0.5441657416206294E-04  0.3143687910132526E-06  0.0000000000000000E+00
  0.9442627693606715E+11  0.1275054909069691E+30  0.5659006418592492E-04  0.3269863722555910E-06  0.0000000000000000E+00
  0.9820332801350984E+11  0.1337867371568029E+30  0.5885034778216438E-04  0.3401127893652254E-06  0.0000000000000000E+00
  0.1021314611340502E+12  0.1403629848174938E+30  0.6120089037431582E-04  0.3537687641609367E-06  0.0000000000000000E+00
  0.1062167195794122E+12  0.1472469207845321E+30  0.6364529575153198E-04  0.3679758788236533E-06  0.0000000000000000E+00
  0.1104653883625887E+12  0.1544517368136150E+30  0.6618731159432185E-04  0.3827566129392271E-06  0.0000000000000000E+00
  0.1148840038970923E+12  0.1619911637213228E+30  0.6883083522104982E-04  0.3981343822392969E-06  0.0000000000000000E+00
  0.1194793640529760E+12  0.1698795127316157E+30  0.7157991956401941E-04  0.4141335791258333E-06  0.0000000000000000E+00
  0.1242585386150950E+12  0.1781317256811050E+30  0.7443877938431729E-04  0.4307796150698316E-06  0.0000000000000000E+00
  0.1292288801596989E+12  0.1867634361313250E+30  0.7741179773496073E-04  0.4480989649797816E-06  0.0000000000000000E+00
  0.1343980353660868E+12  0.1957910438149574E+30  0.8050353268227191E-04  0.4661192136410579E-06  0.0000000000000000E+00
  0.1397739567807303E+12  0.2052318052594546E+30  0.8371872429580041E-04  0.4848691043332317E-06  0.0000000000000000E+00
  0.1453649150519595E+12  0.2151039438727267E+30  0.8706230191752639E-04  0.5043785897385522E-06  0.0000000000000000E+00
  0.1511795116540379E+12  0.2254267832160217E+30  0.9053939172150695E-04  0.5246788852615015E-06  0.0000000000000000E+00
  0.1572266921201994E+12  0.2362209075803309E+30  0.9415532457557308E-04  0.5458025248864149E-06  0.0000000000000000E+00
  0.1635157598050074E+12  0.2475083542461887E+30  0.9791564421714942E-04  0.5677834197077236E-06  0.0000000000000000E+00
  0.1700563901972077E+12  0.2593128418107975E+30  0.1018261157557506E-03  0.5906569192754452E-06  0.0000000000000000E+00
  0.1768586458050960E+12  0.2716600385038517E+30  0.1058927345152099E-03  0.6144598759071499E-06  0.0000000000000000E+00
  0.1839329916372999E+12  0.2845778731588896E+30  0.1101217352292170E-03  0.6392307121268182E-06  0.0000000000000000E+00
  0.1912903113027919E+12  0.2980968889653262E+30  0.1145196016042847E-03  0.6650094914008154E-06  0.0000000000000000E+00
  0.1989419237549036E+12  0.3122506355478737E+30  0.1190930762648275E-03  0.6918379923516825E-06  0.0000000000000000E+00
  0.2068996007050997E+12  0.3270760872044280E+30  0.1238491710956226E-03  0.7197597866416292E-06  0.0000000000000000E+00
  0.2151755847333037E+12  0.3426140626889011E+30  0.1287951779975317E-03  0.7488203207295864E-06  0.0000000000000000E+00
  0.2237826081226359E+12  0.3589096025306096E+30  0.1339386800729985E-03  0.7790670017184480E-06  0.0000000000000000E+00
  0.2327339124475414E+12  0.3760122305635995E+30  0.1392875632584946E-03  0.8105492875228123E-06  0.0000000000000000E+00
  0.2420432689454430E+12  0.3939759833810010E+30  0.1448500284217719E-03  0.8433187816021558E-06  0.0000000000000000E+00
  0.2517249997032607E+12  0.4128590307246384E+30  0.1506346039424942E-03  0.8774293325200171E-06  0.0000000000000000E+00
  0.2617939996913912E+12  0.4327226279587430E+30  0.1566501587955606E-03  0.9129371386065186E-06  0.0000000000000000E+00
  0.2722657596790468E+12  0.4536290385882087E+30  0.1629059161572040E-03  0.9499008580194843E-06  0.0000000000000000E+00
  0.2831563900662087E+12  0.4756379483452327E+30  0.1694114675547513E-03  0.9883817245186001E-06  0.0000000000000000E+00
  0.2944826456688571E+12  0.4988007877226070E+30  0.1761767875817631E-03  0.1028443669287642E-05  0.0000000000000000E+00
  0.3062619514956114E+12  0.5231523419152914E+30  0.1832122492011392E-03  0.1070153449161822E-05  0.0000000000000000E+00
  0.3185124295554359E+12  0.5486991555932450E+30  0.1905286396596764E-03  0.1113580781640914E-05  0.0000000000000000E+00
  0.3312529267376533E+12  0.5754046861629393E+30  0.1981371770385021E-03  0.1158798487094130E-05  0.0000000000000000E+00
  0.3445030438071595E+12  0.6031721028348960E+30  0.2060495274647814E-03  0.1205882638589865E-05  0.0000000000000000E+00
  0.3582831655594459E+12  0.6318271866817930E+30  0.2142778230111089E-03  0.1254912719812513E-05  0.0000000000000000E+00
  0.3726144921818237E+12  0.6611058216123461E+30  0.2228346803100494E-03  0.1305971791559806E-05  0.0000000000000000E+00
  0.3875190718690967E+12  0.6906524281113762E+30  0.2317332199123862E-03  0.1359146667347583E-05  0.0000000000000000E+00
  0.4030198347438605E+12  0.7200360867874143E+30  0.2409870864187757E-03  0.1414528098684865E-05  0.0000000000000000E+00
  0.4191406281336150E+12  0.7487884557474098E+30  0.2506104694156889E-03  0.1472210970620702E-05  0.0000000000000000E+00
  0.4359062532589596E+12  0.7764611925181704E+30  0.2606181252477537E-03  0.1532294508205645E-05  0.0000000000000000E+00
  0.4533425033893180E+12  0.8026920519138453E+30  0.2710253996598903E-03  0.1594882494555203E-05  0.0000000000000000E+00
  0.4714762035248907E+12  0.8272623683928828E+30  0.2818482513439619E-03  0.1660083501250385E-05  0.0000000000000000E+00
  0.4903352516658864E+12  0.8501288715804925E+30  0.2931032764260487E-03  0.1728011131861752E-05  0.0000000000000000E+00
  0.5099486617325219E+12  0.8714209858142830E+30  0.3048077339318901E-03  0.1798784279438525E-05  0.0000000000000000E+00
  0.5303466082018228E+12  0.8914069992163369E+30  0.3169795722695340E-03  0.1872527398863498E-05  0.0000000000000000E+00
  0.5515604725298958E+12  0.9104421919310961E+30  0.3296374567697911E-03  0.1949370795038196E-05  0.0000000000000000E+00
  0.5736228914310916E+12  0.9289148165947842E+30  0.3428007983267039E-03  0.2029450927931113E-05  0.0000000000000000E+00
  0.5965678070883352E+12  0.9472020992639078E+30  0.3564897831819241E-03  0.2112910735595411E-05  0.0000000000000000E+00
  0.6204305193718687E+12  0.9656418030687228E+30  0.3707254038986378E-03  0.2199899976341557E-05  0.0000000000000000E+00
  0.6452477401467434E+12  0.9845190475281534E+30  0.3855294915724931E-03  0.2290575591335388E-05  0.0000000000000000E+00
  0.6710576497526132E+12  0.1004064775246286E+31  0.4009247493288788E-03  0.2385102088983535E-05  0.0000000000000000E+00
  0.6978999557427177E+12  0.1024461409110172E+31  0.4169347871578564E-03  0.2483651952566516E-05  0.0000000000000000E+00
  0.7258159539724264E+12  0.1045851887603599E+31  0.4335841581401001E-03  0.2586406072685585E-05  0.0000000000000000E+00
  0.7548485921313235E+12  0.1068349447541816E+31  0.4508983961193106E-03  0.2693554206203204E-05  0.0000000000000000E+00
  0.7850425358165764E+12  0.1092046649789534E+31  0.4689040548787841E-03  0.2805295463479526E-05  0.0000000000000000E+00
  0.8164442372492395E+12  0.1117022976766330E+31  0.4876287488821039E-03  0.2921838825838964E-05  0.0000000000000000E+00
  0.8491020067392091E+12  0.1143350849983371E+31  0.5071011956403080E-03  0.3043403695342698E-05  0.0000000000000000E+00
  0.8830660870087775E+12  0.1171100190745424E+31  0.5273512597703680E-03  0.3170220479095589E-05  0.0000000000000000E+00
  0.9183887304891285E+12  0.1200341762038825E+31  0.5484099988123856E-03  0.3302531210480086E-05  0.0000000000000000E+00
  0.9551242797086937E+12  0.1231149553252169E+31  0.5703097108755954E-03  0.3440590209886505E-05  0.0000000000000000E+00
  0.9933292508970415E+12  0.1263602448123169E+31  0.5930839841860436E-03  0.3584664787699179E-05  0.0000000000000000E+00
  0.1033062420932923E+13  0.1297785377715557E+31  0.6167677486117092E-03  0.3735035992502806E-05  0.0000000000000000E+00
  0.1074384917770240E+13  0.1333790118855884E+31  0.6413973292438426E-03  0.3891999407693635E-05  0.0000000000000000E+00
  0.1117360314481050E+13  0.1371715860956741E+31  0.6670105021164210E-03  0.4055865999917350E-05  0.0000000000000000E+00
  0.1162054727060292E+13  0.1411669632819037E+31  0.6936465521488763E-03  0.4226963023010948E-05  0.0000000000000000E+00
  0.1208536916142703E+13  0.1453766656007569E+31  0.7213463334006252E-03  0.4405634981400712E-05  0.0000000000000000E+00
  0.1256878392788412E+13  0.1498130671989161E+31  0.7501523317294480E-03  0.4592244657204366E-05  0.0000000000000000E+00
  0.1307153528499948E+13  0.1544894275416902E+31  0.7801087299494152E-03  0.4787174205604048E-05  0.0000000000000000E+00
  0.1359439669639946E+13  0.1594199274783315E+31  0.8112614755878509E-03  0.4990826323399619E-05  0.0000000000000000E+00
  0.1413817256425544E+13  0.1646197093340174E+31  0.8436583513447781E-03  0.5203625496020993E-05  0.0000000000000000E+00
  0.1470369946682566E+13  0.1701049217059361E+31  0.8773490483623789E-03  0.5426019328675457E-05  0.0000000000000000E+00
  0.1529184744549869E+13  0.1758927692000253E+31  0.9123852424162835E-03  0.5658479967733698E-05  0.0000000000000000E+00
  0.1590352134331864E+13  0.1820015670383648E+31  0.9488206731449146E-03  0.5901505618918462E-05  0.0000000000000000E+00
  0.1653966219705138E+13  0.1884508002673852E+31  0.9867112264377394E-03  0.6155622169355274E-05  0.0000000000000000E+00
  0.1720124868493344E+13  0.1952611871811634E+31  0.1026115020108054E-02  0.6421384921077665E-05  0.0000000000000000E+00
  0.1788929863233078E+13  0.2024547465242524E+31  0.1067092492980915E-02  0.6699380444153164E-05  0.0000000000000000E+00
  0.1860487057762401E+13  0.2100548680397340E+31  0.1109706497532000E-02  0.6990228558213457E-05  0.0000000000000000E+00
  0.1934906540072897E+13  0.2180863859662444E+31  0.1154022396218560E-02  0.7294584451836271E-05  0.0000000000000000E+00
  0.2012302801675813E+13  0.2265756551519753E+31  0.1200108161649220E-02  0.7613140949940891E-05  0.0000000000000000E+00
  0.2092794913742845E+13  0.2355506295325594E+31  0.1248034480745190E-02  0.7946630940127509E-05  0.0000000000000000E+00
  0.2176506710292559E+13  0.2450409428056937E+31  0.1297874863051498E-02  0.8295829969717034E-05  0.0000000000000000E+00
  0.2263566978704262E+13  0.2550779912197771E+31  0.1349705753363125E-02  0.8661559026136257E-05  0.0000000000000000E+00
  0.2354109657852432E+13  0.2656950184722738E+31  0.1403606648837474E-02  0.9044687514248545E-05  0.0000000000000000E+00
  0.2448274044166529E+13  0.2769272027805743E+31  0.1459660220771360E-02  0.9446136445256788E-05  0.0000000000000000E+00
  0.2546205005933190E+13  0.2888117462422719E+31  0.1517952441227787E-02  0.9866881852908408E-05  0.0000000000000000E+00
  0.2648053206170518E+13  0.3013879666405854E+31  0.1578572714705107E-02  0.1030795845391763E-04  0.0000000000000000E+00
  0.2753975334417339E+13  0.3146973918747810E+31  0.1641614015048780E-02  0.1077046357079294E-04  0.0000000000000000E+00
  0.2864134347794033E+13  0.3287838572051373E+31  0.1707173027813879E-02  0.1125556133662489E-04  0.0000000000000000E+00
  0.2978699721705794E+13  0.3436936054982785E+31  0.1775350298294731E-02  0.1176448720285632E-04  0.0000000000000000E+00
  0.3097847710574026E+13  0.3594753906441745E+31  0.1846250385446653E-02  0.1229855277263219E-04  0.0000000000000000E+00
  0.3221761618996987E+13  0.3761805842915828E+31  0.1919982021933657E-02  0.1285915098401493E-04  0.0000000000000000E+00
  0.3350632083756866E+13  0.3938632860170208E+31  0.1996658280545242E-02  0.1344776166916285E-04  0.0000000000000000E+00
  0.3484657367107141E+13  0.4125804370045567E+31  0.2076396747235065E-02  0.1406595751751087E-04  0.0000000000000000E+00
  0.3624043661791427E+13  0.4323919372723681E+31  0.2159319701044252E-02  0.1471541047307299E-04  0.0000000000000000E+00
  0.3769005408263084E+13  0.4533607664369447E+31  0.2245554301182576E-02  0.1539789859821425E-04  0.0000000000000000E+00
  0.3919765624593607E+13  0.4755531079600412E+31  0.2335232781551515E-02  0.1611531343862465E-04  0.0000000000000000E+00
  0.4076556249577352E+13  0.4990384767758539E+31  0.2428492653004528E-02  0.1686966792677913E-04  0.0000000000000000E+00
  0.4239618499560446E+13  0.5238898501483886E+31  0.2525476913651553E-02  0.1766310486389586E-04  0.0000000000000000E+00
  0.4409203239542864E+13  0.5501838015612777E+31  0.2626334267526953E-02  0.1849790602332013E-04  0.0000000000000000E+00
  0.4585571369124579E+13  0.5780006373943466E+31  0.2731219351952834E-02  0.1937650192137422E-04  0.0000000000000000E+00
  0.4768994223889562E+13  0.6074245360941423E+31  0.2840292973942804E-02  0.2030148230503506E-04  0.0000000000000000E+00
  0.4959753992845146E+13  0.6385436894978665E+31  0.2953722356005030E-02  0.2127560740934312E-04  0.0000000000000000E+00
  0.5158144152558951E+13  0.6714504459230636E+31  0.3071681391717688E-02  0.2230182004121894E-04  0.0000000000000000E+00
  0.5364469918661310E+13  0.7062414545883372E+31  0.3194350911464795E-02  0.2338325855037906E-04  0.0000000000000000E+00
  0.5579048715407762E+13  0.7430178108835015E+31  0.3321918958735882E-02  0.2452327075231288E-04  0.0000000000000000E+00
  0.5802210664024072E+13  0.7818852019605547E+31  0.3454581077409050E-02  0.2572542887281696E-04  0.0000000000000000E+00
  0.6034299090585035E+13  0.8229540520714109E+31  0.3592540610453738E-02  0.2699354558839392E-04  0.0000000000000000E+00
  0.6275671054208437E+13  0.8663396670328705E+31  0.3736009010506977E-02  0.2833169124192130E-04  0.0000000000000000E+00
  0.6526697896376774E+13  0.9121623771560193E+31  0.3885206162795061E-02  0.2974421231838829E-04  0.0000000000000000E+00
  0.6787765812231846E+13  0.9605476779365800E+31  0.4040360720891522E-02  0.3123575127119752E-04  0.0000000000000000E+00
  0.7059276444721120E+13  0.1011626367764560E+32  0.4201710455821945E-02  0.3281126779553831E-04  0.0000000000000000E+00
  0.7341647502509965E+13  0.1065534681879601E+32  0.4369502619046751E-02  0.3447606165166598E-04  0.0000000000000000E+00
  0.7635313402610363E+13  0.1122414421771443E+32  0.4543994319874390E-02  0.3623579714757077E-04  0.0000000000000000E+00
  0.7940725938714778E+13  0.1182413079207429E+32  0.4725452917879729E-02  0.3809652939749083E-04  0.0000000000000000E+00
  0.8258354976263370E+13  0.1245683954061056E+32  0.4914156430925538E-02  0.4006473248001508E-04  0.0000000000000000E+00
  0.8588689175313905E+13  0.1312386265123355E+32  0.5110393959409257E-02  0.4214732962712757E-04  0.0000000000000000E+00
  0.8932236742326461E+13  0.1382685253099635E+32  0.5314466127382352E-02  0.4435172558345519E-04  0.0000000000000000E+00
  0.9289526212019520E+13  0.1456752275040327E+32  0.5526685541215861E-02  0.4668584128317917E-04  0.0000000000000000E+00
  0.9661107260500301E+13  0.1534764889521668E+32  0.5747377266513122E-02  0.4915815100053780E-04  0.0000000000000000E+00
  0.1004755155092031E+14  0.1616906931992155E+32  0.5976879323999163E-02  0.5177772213855280E-04  0.0000000000000000E+00
  0.1044945361295712E+14  0.1703368579835696E+32  0.6215543205146051E-02  0.5455425782951904E-04  0.0000000000000000E+00
  0.1086743175747541E+14  0.1794346406880003E+32  0.6463734408324395E-02  0.5749814252985947E-04  0.0000000000000000E+00
  0.1130212902777443E+14  0.1890043427309544E+32  0.6721832996303662E-02  0.6062049080110760E-04  0.0000000000000000E+00
  0.1175421418888540E+14  0.1990669129228528E+32  0.6990234175957491E-02  0.6393319947796580E-04  0.0000000000000000E+00
  0.1222438275644082E+14  0.2096439498480006E+32  0.7269348901065452E-02  0.6744900343351911E-04  0.0000000000000000E+00
  0.1271335806669845E+14  0.2207577033763382E+32  0.7559604499139172E-02  0.7118153516065254E-04  0.0000000000000000E+00
  0.1322189238936639E+14  0.2324310754627212E+32  0.7861445323238962E-02  0.7514538839741406E-04  0.0000000000000000E+00
  0.1375076808494105E+14  0.2446876204551045E+32  0.8175333429786696E-02  0.7935618603233646E-04  0.0000000000000000E+00
  0.1430079880833869E+14  0.2575515452094831E+32  0.8501749283422176E-02  0.8383065253342230E-04  0.0000000000000000E+00
  0.1487283076067224E+14  0.2710477093995594E+32  0.8841192489993094E-02  0.8858669115141035E-04  0.0000000000000000E+00
  0.1546774399109913E+14  0.2852016265154106E+32  0.9194182558813655E-02  0.9364346615386830E-04  0.0000000000000000E+00
  0.1608645375074310E+14  0.3000394661698332E+32  0.9561259695373340E-02  0.9902149035133462E-04  0.0000000000000000E+00
  0.1672991190077282E+14  0.3155880584754902E+32  0.9942985625725724E-02  0.1047427181798862E-03  0.0000000000000000E+00
  0.1739910837680373E+14  0.3318749014237864E+32  0.1033994445383751E-01  0.1108306446058079E-03  0.0000000000000000E+00
  0.1809507271187588E+14  0.3489281723892970E+32  0.1075274355322987E-01  0.1173104101171203E-03  0.0000000000000000E+00
  0.1881887562035092E+14  0.3667767451051352E+32  0.1118201449429829E-01  0.1242089120631813E-03  0.0000000000000000E+00
  0.1957163064516496E+14  0.3854502137079507E+32  0.1162841400875269E-01  0.1315549225969443E-03  0.0000000000000000E+00
  0.2035449587097155E+14  0.4049789257389388E+32  0.1209262499267720E-01  0.1393792134642475E-03  0.0000000000000000E+00
  0.2116867570581042E+14  0.4253940263132870E+32  0.1257535754976829E-01  0.1477146878701412E-03  0.0000000000000000E+00
  0.2201542273404284E+14  0.4467275160388182E+32  0.1307735007637102E-01  0.1565965196331517E-03  0.0000000000000000E+00
  0.2289603964340455E+14  0.4690123256773999E+32  0.1359937038999509E-01  0.1660622998138432E-03  0.0000000000000000E+00
  0.2381188122914073E+14  0.4922824110052241E+32  0.1414221690305699E-01  0.1761521909733786E-03  0.0000000000000000E+00
  0.2476435647830636E+14  0.5165728718430417E+32  0.1470671984365852E-01  0.1869090891802224E-03  0.0000000000000000E+00
  0.2575493073743862E+14  0.5419200997983821E+32  0.1529374252527850E-01  0.1983787938378720E-03  0.0000000000000000E+00
  0.2678512796693616E+14  0.5683619598915961E+32  0.1590418266731998E-01  0.2106101853526961E-03  0.0000000000000000E+00
  0.2785653308561361E+14  0.5959380119301307E+32  0.1653897376852197E-01  0.2236554105977470E-03  0.0000000000000000E+00
  0.2897079440903816E+14  0.6246897782500459E+32  0.1719908653531007E-01  0.2375700760548967E-03  0.0000000000000000E+00
  0.3012962618539969E+14  0.6546610652645057E+32  0.1788553036722502E-01  0.2524134484329661E-03  0.0000000000000000E+00
  0.3133481123281568E+14  0.6858983471414405E+32  0.1859935490163087E-01  0.2682486624628299E-03  0.0000000000000000E+00
  0.3258820368212830E+14  0.7184512208767297E+32  0.1934165161996386E-01  0.2851429354610041E-03  0.0000000000000000E+00
  0.3389173182941344E+14  0.7523729430255093E+32  0.2011355551783920E-01  0.3031677881302944E-03  0.0000000000000000E+00
  0.3524740110258998E+14  0.7877210593936298E+32  0.2091624684138298E-01  0.3223992709291700E-03  0.0000000000000000E+00
  0.3665729714669358E+14  0.8245581400534126E+32  0.2175095289220044E-01  0.3429181951903197E-03  0.0000000000000000E+00
  0.3812358903256132E+14  0.8629526331038697E+32  0.2261894990342677E-01  0.3648103680032950E-03  0.0000000000000000E+00
  0.3964853259386377E+14  0.9029798516042890E+32  0.2352156498933103E-01  0.3881668296965616E-03  0.0000000000000000E+00
  0.4123447389761833E+14  0.9447231090013328E+32  0.2446017817095556E-01  0.4130840925614319E-03  0.0000000000000000E+00
  0.4288385285352306E+14  0.9882750190503635E+32  0.2543622448026883E-01  0.4396643792555252E-03  0.0000000000000000E+00
  0.4459920696766398E+14  0.1033738976556392E+33  0.2645119614528709E-01  0.4680158591086043E-03  0.0000000000000000E+00
  0.4638317524637055E+14  0.1081230835013565E+33  0.2750664485857453E-01  0.4982528803316445E-03  0.0000000000000000E+00
  0.4823850225622537E+14  0.1130880796093547E+33  0.2860418413146035E-01  0.5304961959045451E-03  0.0000000000000000E+00
  0.5016804234647438E+14  0.1182835523459266E+33  0.2974549173620867E-01  0.5648731806938696E-03  0.0000000000000000E+00
  0.5217476404033336E+14  0.1237260488878002E+33  0.3093231223823810E-01  0.6015180371355651E-03  0.0000000000000000E+00
  0.5426175460194670E+14  0.1294342551074335E+33  0.3216645962030830E-01  0.6405719866163698E-03  0.0000000000000000E+00
  0.5643222478602456E+14  0.1354292755723268E+33  0.3344982000036140E-01  0.6821834435109318E-03  0.0000000000000000E+00
  0.5868951377746555E+14  0.1417349326268730E+33  0.3478435444442304E-01  0.7265081686906287E-03  0.0000000000000000E+00
  0.6103709432856417E+14  0.1483780786686214E+33  0.3617210187562025E-01  0.7737093992279564E-03  0.0000000000000000E+00
  0.6347857810170674E+14  0.1553889114270185E+33  0.3761518207995431E-01  0.8239579509925009E-03  0.0000000000000000E+00
  0.6601772122577502E+14  0.1628012756342128E+33  0.3911579880896705E-01  0.8774322908887356E-03  0.0000000000000000E+00
  0.6865843007480602E+14  0.1706529249944819E+33  0.4067624297884605E-01  0.9343185756423366E-03  0.0000000000000000E+00
  0.7140476727779827E+14  0.1789857044953723E+33  0.4229889596482035E-01  0.9948106543231988E-03  0.0000000000000000E+00
  0.7426095796891020E+14  0.1878455931160430E+33  0.4398623298888776E-01  0.1059110032224988E-02  0.0000000000000000E+00
  0.7723139628766661E+14  0.1972825187708493E+33  0.4574082659797821E-01  0.1127425794330649E-02  0.0000000000000000E+00
  0.8032065213917328E+14  0.2073498188543863E+33  0.4756535022857932E-01  0.1199974487410565E-02  0.0000000000000000E+00
  0.8353347822474022E+14  0.2181031705332184E+33  0.4946258185261687E-01  0.1276979960856902E-02  0.0000000000000000E+00
  0.8687481735372983E+14  0.2295987599316286E+33  0.5143540769798050E-01  0.1358673167687427E-02  0.0000000000000000E+00
  0.9034981004787903E+14  0.2418904187947325E+33  0.5348682603549757E-01  0.1445291928788841E-02  0.0000000000000000E+00
  0.9396380244979420E+14  0.2550254894478578E+33  0.5561995102237181E-01  0.1537080665448132E-02  0.0000000000000000E+00
  0.9772235454778597E+14  0.2690394311918415E+33  0.5783801659010344E-01  0.1634290107574201E-02  0.0000000000000000E+00
