      6    246    185          Itext Imax Icore

      Akmal, Pandariphande & Ravenhall: A18 + dv + UIX* model (the best one)

     Rho          Press           nbar            Ye            Ymu             Yn              Yp            Yla            Ysm            Ys0            Ysp           mstp            mstn           mstla          mstsm          msts0         mstsp
    g/cm3         dyne/cm2        #/fm3         [A_cell]       [A_ion]          [Z]

  0.4948E+16     0.3538E+37     0.1690E+01     0.1788E+00     0.1613E+00     0.6599E+00     0.3401E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3177E+01     0.2014E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4896E+16     0.3478E+37     0.1680E+01     0.1784E+00     0.1608E+00     0.6609E+00     0.3391E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3142E+01     0.1996E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4844E+16     0.3419E+37     0.1670E+01     0.1779E+00     0.1603E+00     0.6618E+00     0.3382E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3106E+01     0.1977E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4792E+16     0.3360E+37     0.1660E+01     0.1775E+00     0.1598E+00     0.6628E+00     0.3372E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3071E+01     0.1959E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4741E+16     0.3303E+37     0.1650E+01     0.1770E+00     0.1593E+00     0.6637E+00     0.3363E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3036E+01     0.1940E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4690E+16     0.3245E+37     0.1640E+01     0.1766E+00     0.1587E+00     0.6647E+00     0.3353E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3002E+01     0.1922E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4640E+16     0.3189E+37     0.1630E+01     0.1761E+00     0.1582E+00     0.6657E+00     0.3343E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2968E+01     0.1904E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4590E+16     0.3133E+37     0.1620E+01     0.1756E+00     0.1577E+00     0.6667E+00     0.3333E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2934E+01     0.1886E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4540E+16     0.3078E+37     0.1610E+01     0.1751E+00     0.1572E+00     0.6677E+00     0.3323E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2900E+01     0.1869E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4491E+16     0.3023E+37     0.1600E+01     0.1747E+00     0.1566E+00     0.6687E+00     0.3313E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2866E+01     0.1851E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4442E+16     0.2969E+37     0.1590E+01     0.1742E+00     0.1561E+00     0.6697E+00     0.3303E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2833E+01     0.1834E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4393E+16     0.2916E+37     0.1580E+01     0.1737E+00     0.1556E+00     0.6707E+00     0.3293E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2800E+01     0.1817E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4345E+16     0.2863E+37     0.1570E+01     0.1732E+00     0.1550E+00     0.6718E+00     0.3282E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2768E+01     0.1799E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4297E+16     0.2811E+37     0.1560E+01     0.1727E+00     0.1545E+00     0.6728E+00     0.3272E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2735E+01     0.1783E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4250E+16     0.2760E+37     0.1550E+01     0.1722E+00     0.1539E+00     0.6738E+00     0.3262E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2703E+01     0.1766E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4203E+16     0.2709E+37     0.1540E+01     0.1717E+00     0.1534E+00     0.6749E+00     0.3251E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2671E+01     0.1749E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4156E+16     0.2659E+37     0.1530E+01     0.1712E+00     0.1528E+00     0.6760E+00     0.3240E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2640E+01     0.1733E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4110E+16     0.2609E+37     0.1520E+01     0.1707E+00     0.1522E+00     0.6770E+00     0.3230E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2608E+01     0.1716E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4064E+16     0.2560E+37     0.1510E+01     0.1702E+00     0.1517E+00     0.6781E+00     0.3219E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2577E+01     0.1700E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4018E+16     0.2512E+37     0.1500E+01     0.1697E+00     0.1511E+00     0.6792E+00     0.3208E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2546E+01     0.1684E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3973E+16     0.2464E+37     0.1490E+01     0.1692E+00     0.1505E+00     0.6803E+00     0.3197E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2516E+01     0.1668E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3928E+16     0.2417E+37     0.1480E+01     0.1687E+00     0.1499E+00     0.6814E+00     0.3186E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2486E+01     0.1652E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3884E+16     0.2370E+37     0.1470E+01     0.1681E+00     0.1493E+00     0.6825E+00     0.3175E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2456E+01     0.1637E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3840E+16     0.2324E+37     0.1460E+01     0.1676E+00     0.1487E+00     0.6836E+00     0.3164E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2426E+01     0.1621E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3796E+16     0.2279E+37     0.1450E+01     0.1671E+00     0.1481E+00     0.6848E+00     0.3152E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2396E+01     0.1606E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3752E+16     0.2234E+37     0.1440E+01     0.1665E+00     0.1475E+00     0.6859E+00     0.3141E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2367E+01     0.1591E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3709E+16     0.2189E+37     0.1430E+01     0.1660E+00     0.1469E+00     0.6871E+00     0.3129E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2338E+01     0.1576E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3666E+16     0.2146E+37     0.1420E+01     0.1655E+00     0.1463E+00     0.6882E+00     0.3118E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2310E+01     0.1561E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3624E+16     0.2103E+37     0.1410E+01     0.1649E+00     0.1457E+00     0.6894E+00     0.3106E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2281E+01     0.1547E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3582E+16     0.2060E+37     0.1400E+01     0.1643E+00     0.1451E+00     0.6906E+00     0.3094E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2253E+01     0.1532E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3540E+16     0.2018E+37     0.1390E+01     0.1638E+00     0.1444E+00     0.6918E+00     0.3082E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2225E+01     0.1518E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3499E+16     0.1977E+37     0.1380E+01     0.1632E+00     0.1438E+00     0.6930E+00     0.3070E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2197E+01     0.1503E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3457E+16     0.1936E+37     0.1370E+01     0.1626E+00     0.1432E+00     0.6942E+00     0.3058E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2170E+01     0.1489E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3417E+16     0.1895E+37     0.1360E+01     0.1621E+00     0.1425E+00     0.6954E+00     0.3046E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2143E+01     0.1475E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3376E+16     0.1856E+37     0.1350E+01     0.1615E+00     0.1419E+00     0.6966E+00     0.3034E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2116E+01     0.1462E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3336E+16     0.1816E+37     0.1340E+01     0.1609E+00     0.1412E+00     0.6979E+00     0.3021E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2090E+01     0.1448E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3296E+16     0.1778E+37     0.1330E+01     0.1603E+00     0.1406E+00     0.6991E+00     0.3009E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2063E+01     0.1434E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3257E+16     0.1739E+37     0.1320E+01     0.1597E+00     0.1399E+00     0.7004E+00     0.2996E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2037E+01     0.1421E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3218E+16     0.1702E+37     0.1310E+01     0.1591E+00     0.1392E+00     0.7017E+00     0.2983E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2012E+01     0.1408E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3179E+16     0.1665E+37     0.1300E+01     0.1585E+00     0.1385E+00     0.7029E+00     0.2971E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1986E+01     0.1395E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3140E+16     0.1628E+37     0.1290E+01     0.1579E+00     0.1379E+00     0.7042E+00     0.2958E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1961E+01     0.1382E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.3102E+16     0.1592E+37     0.1280E+01     0.1573E+00     0.1372E+00     0.7055E+00     0.2945E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+01     0.1369E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
