      6    341    279          Itext Imax Icore

	BM165 WITH hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]																															           

  0.19949E+08	0.11058E+26	1.2001E-08
  0.15847E+08	0.87240E+25	9.5401E-09
  0.12586E+08	0.68879E+25	7.5800E-09
  0.99957E+07	0.54731E+25	6.0200E-09
  0.79384E+07	0.43388E+25	4.7802E-09
  0.63055E+07	0.33390E+25	3.8002E-09
  0.50077E+07	0.24514E+25	3.0201E-09
  0.39772E+07	0.17608E+25	2.4001E-09
  0.31590E+07	0.12819E+25	1.9001E-09
  0.25083E+07	0.94033E+24	1.5100E-09
  0.19931E+07	0.68975E+24	1.2001E-09
  0.15827E+07	0.50501E+24	9.5401E-10
  0.12572E+07	0.36963E+24	7.5800E-10
  0.99850E+06	0.27077E+24	6.0200E-10
  0.79313E+06	0.19835E+24	4.7802E-10
  0.62983E+06	0.14545E+24	3.8002E-10
  0.50041E+06	0.10664E+24	3.0201E-10
  0.39737E+06	0.78235E+23	2.4001E-10
  0.31572E+06	0.57423E+23	1.9001E-10
  0.25065E+06	0.42186E+23	1.5100E-10

