
 EOS                                                                            

              Mstar     = 1.000E+00    Rstar     = 1.177E+06
              Mexo      = 0.000E+00    Rexo      = 0.000E+00
              Mcore     = 9.785E-01    Rcore     = 1.033E+06
              Mincrust  = 2.150E-02    Rincrust  = 8.056E+04
              Moutcrust = 4.984E-05    Routcrust = 6.305E+04

rho_cen=   0.718E+15
  icore= 401   sfn1s0=  0.                 emnco= 5.   rhoexo=   5.000E+24
  idrip= 553   sfn3p2=  0.  fn3p2= 1.00    emncr= 5.     cexo=   1.000E+25
   imax= 769   sfp1s0=  0.  fp1s0= 1.00      emp= 3.     pexo=   6.000E+00

            DUrca not possible
          e-ion bremstrahlung:  1             bubble neutrinos:  0
             plasma neutrinos:  1              neutron 1S0 pbf:  1
               pair neutrinos:  0              neutron 3P2 pbf:  1
              photo neutrinos:  0               proton 1S0 pbf:  1



    Step      Time            Teff       L_phot       L_nu        L_heat 
             [years]      at inf [K]    [erg/sec]   [erg/sec]   [erg/sec]

       1 1.000000000E-12       554817.266     1.250282269E+32 2.493194979E+29  0.00000000    
       2 2.500000000E-12       554817.266     1.250282269E+32 2.493194979E+29  0.00000000    
       3 4.750000000E-12       554817.266     1.250282268E+32 2.493194979E+29  0.00000000    
       4 8.125000000E-12       554817.266     1.250282268E+32 2.493194979E+29  0.00000000    
       5 1.318750000E-11       554817.266     1.250282267E+32 2.493194979E+29  0.00000000    
       6 2.078125000E-11       554817.266     1.250282266E+32 2.493194979E+29  0.00000000    
       7 3.217187500E-11       554817.266     1.250282264E+32 2.493194979E+29  0.00000000    
       8 4.925781250E-11       554817.266     1.250282262E+32 2.493194979E+29  0.00000000    
       9 7.488671875E-11       554817.265     1.250282258E+32 2.493194979E+29  0.00000000    
      10 1.133300781E-10       554817.265     1.250282253E+32 2.493194979E+29  0.00000000    
      11 1.709951172E-10       554817.264     1.250282244E+32 2.493194979E+29  0.00000000    
      12 2.574926758E-10       554817.262     1.250282232E+32 2.493194979E+29  0.00000000    
      13 3.872390137E-10       554817.260     1.250282213E+32 2.493194979E+29  0.00000000    
      14 5.818585205E-10       554817.257     1.250282184E+32 2.493194979E+29  0.00000000    
      15 8.737877808E-10       554817.252     1.250282142E+32 2.493194978E+29  0.00000000    
      16 1.311681671E-09       554817.245     1.250282078E+32 2.493194978E+29  0.00000000    
      17 1.968522507E-09       554817.235     1.250281982E+32 2.493194977E+29  0.00000000    
      18 2.953783760E-09       554817.219     1.250281839E+32 2.493194976E+29  0.00000000    
      19 4.431675640E-09       554817.195     1.250281624E+32 2.493194975E+29  0.00000000    
      20 6.648513460E-09       554817.159     1.250281301E+32 2.493194972E+29  0.00000000    
      21 9.973770190E-09       554817.105     1.250280817E+32 2.493194969E+29  0.00000000    
      22 1.496165529E-08       554817.025     1.250280092E+32 2.493194963E+29  0.00000000    
      23 2.244348293E-08       554816.904     1.250279004E+32 2.493194955E+29  0.00000000    
      24 3.366622439E-08       554816.723     1.250277373E+32 2.493194943E+29  0.00000000    
      25 5.050033659E-08       554816.452     1.250274929E+32 2.493194925E+29  0.00000000    
      26 7.575150488E-08       554816.046     1.250271269E+32 2.493194897E+29  0.00000000    
      27 1.136282573E-07       554815.438     1.250265792E+32 2.493194856E+29  0.00000000    
      28 1.704433860E-07       554814.530     1.250257604E+32 2.493194795E+29  0.00000000    
      29 2.556660790E-07       554813.174     1.250245385E+32 2.493194703E+29  0.00000000    
      30 3.835001185E-07       554811.156     1.250227195E+32 2.493194565E+29  0.00000000    
      31 5.752511777E-07       554808.164     1.250200218E+32 2.493194358E+29  0.00000000    
      32 8.628777665E-07       554803.748     1.250160421E+32 2.493194048E+29  0.00000000    
      33 1.294317650E-06       554797.285     1.250102170E+32 2.493193586E+29  0.00000000    
      34 1.941477475E-06       554787.928     1.250017833E+32 2.493192894E+29  0.00000000    
      35 2.912217212E-06       554774.582     1.249897558E+32 2.493191865E+29  0.00000000    
      36 4.368326818E-06       554755.924     1.249729417E+32 2.493190336E+29  0.00000000    
      37 6.552491227E-06       554730.481     1.249500164E+32 2.493188077E+29  0.00000000    
      38 9.828737841E-06       554696.784     1.249196590E+32 2.493184762E+29  0.00000000    
      39 1.474310776E-05       554653.529     1.248806992E+32 2.493179945E+29  0.00000000    
      40 2.211466264E-05       554599.673     1.248322032E+32 2.493173047E+29  0.00000000    
      41 3.317199496E-05       554534.433     1.247734753E+32 2.493163359E+29  0.00000000    
      42 4.975799344E-05       554457.287     1.247040569E+32 2.493150116E+29  0.00000000    
      43 7.463699117E-05       554368.104     1.246238427E+32 2.493132655E+29  0.00000000    
      44 1.119554877E-04       554267.461     1.245333679E+32 2.493110676E+29  0.00000000    
      45 1.679332326E-04       554157.152     1.244342602E+32 2.493084535E+29  0.00000000    
      46 2.518998499E-04       554040.878     1.243298571E+32 2.493055339E+29  0.00000000    
      47 3.778497759E-04       553925.149     1.242260084E+32 2.493024560E+29  0.00000000    
      48 5.667746649E-04       553820.424     1.241320912E+32 2.492993084E+29  0.00000000    
      49 8.501619983E-04       553742.496     1.240622387E+32 2.492960106E+29  0.00000000    
      50 1.275242998E-03       553714.046     1.240367453E+32 2.492922540E+29  0.00000000    
      51 1.912864499E-03       553766.262     1.240835391E+32 2.492875215E+29  0.00000000    
      52 2.869296749E-03       553940.348     1.242396441E+32 2.492811341E+29  0.00000000    
      53 4.303945124E-03       554289.137     1.245528494E+32 2.492722450E+29  0.00000000    
      54 6.455917688E-03       554879.290     1.250841447E+32 2.492597537E+29  0.00000000    
      55 9.038284764E-03       555612.139     1.257462672E+32 2.492455429E+29  0.00000000    
      56 1.213712525E-02       556487.375     1.265404756E+32 2.492292655E+29  0.00000000    
      57 1.585573384E-02       557511.533     1.274745895E+32 2.492105409E+29  0.00000000    
      58 2.031806415E-02       558696.400     1.285617248E+32 2.491889435E+29  0.00000000    
      59 2.567286052E-02       560058.926     1.298204450E+32 2.491639951E+29  0.00000000    
      60 3.209861616E-02       561622.184     1.312759638E+32 2.491351583E+29  0.00000000    
      61 3.980952293E-02       563417.255     1.329623773E+32 2.491018331E+29  0.00000000    
      62 4.906261106E-02       565486.064     1.349260557E+32 2.490633557E+29  0.00000000    
      63 6.016631681E-02       567885.008     1.372302372E+32 2.490190013E+29  0.00000000    
      64 7.349076371E-02       570688.580     1.399603200E+32 2.489679932E+29  0.00000000    
      65 8.948009999E-02       573991.023     1.432282221E+32 2.489095182E+29  0.00000000    
      66 0.108667304           577902.866     1.471728133E+32 2.488427515E+29  0.00000000    
      67 0.131691948           582539.194     1.519528327E+32 2.487668908E+29  0.00000000    
      68 0.159321521           587998.853     1.577299311E+32 2.486812010E+29  0.00000000    
      69 0.192477009           594337.990     1.646425803E+32 2.485850681E+29  0.00000000    
      70 0.232263594           601545.316     1.727752769E+32 2.484780567E+29  0.00000000    
      71 0.280007496           609527.526     1.821300016E+32 2.483599648E+29  0.00000000    
      72 0.337300179           618110.509     1.926072853E+32 2.482308644E+29  0.00000000    
      73 0.406051398           627056.816     2.040026318E+32 2.480911175E+29  0.00000000    
      74 0.488552861           636095.061     2.160211600E+32 2.479413613E+29  0.00000000    
      75 0.587554617           644954.527     2.283098146E+32 2.477824700E+29  0.00000000    
      76 0.706356724           653398.252     2.405027642E+32 2.476155114E+29  0.00000000    
      77 0.848919253           661249.249     2.522719512E+32 2.474417287E+29  0.00000000    
      78  1.01999429           668405.859     2.633717520E+32 2.472625731E+29  0.00000000    
      79  1.22528433           674843.404     2.736656129E+32 2.470797958E+29  0.00000000    
      80  1.47163238           680601.052     2.831252891E+32 2.468955813E+29  0.00000000    
      81  1.76725004           685756.046     2.918010035E+32 2.467126692E+29  0.00000000    
      82  2.12199123           690391.728     2.997716200E+32 2.465343987E+29  0.00000000    
      83  2.54768065           694568.934     3.070927889E+32 2.463646044E+29  0.00000000    
      84  3.05850797           698310.026     3.137626965E+32 2.462073208E+29  0.00000000    
      85  3.67150075           701600.197     3.197179417E+32 2.460663062E+29  0.00000000    
      86  4.40709208           704404.059     3.248595206E+32 2.459444599E+29  0.00000000    
      87  5.28980168           706689.914     3.290968841E+32 2.458432689E+29  0.00000000    
      88  6.34905320           708452.023     3.323915531E+32 2.457624445E+29  0.00000000    
      89  7.62015502           709722.874     3.347830105E+32 2.456998832E+29  0.00000000    
      90  9.14547721           710571.807     3.363876841E+32 2.456519997E+29  0.00000000    
      91  10.9758638           711091.799     3.373734312E+32 2.456143532E+29  0.00000000    
      92  13.1723278           711380.588     3.379218231E+32 2.455823742E+29  0.00000000    
      93  15.8080845           711523.725     3.381938780E+32 2.455519592E+29  0.00000000    
      94  18.9709926           711584.968     3.383103318E+32 2.455197710E+29  0.00000000    
      95  22.7664823           711605.109     3.383486354E+32 2.454832241E+29  0.00000000    
      96  27.3210700           711606.561     3.383513961E+32 2.454402566E+29  0.00000000    
      97  32.7865751           711599.828     3.383385907E+32 2.453890344E+29  0.00000000    
      98  39.3451814           711588.995     3.383179897E+32 2.453276890E+29  0.00000000    
      99  47.2155088           711575.223     3.382917981E+32 2.452541251E+29  0.00000000    
     100  56.6599018           711558.508     3.382600144E+32 2.451658856E+29  0.00000000    
     101  67.9931733           711538.413     3.382218040E+32 2.450600426E+29  0.00000000    
     102  81.5930991           711514.292     3.381759442E+32 2.449330931E+29  0.00000000    
     103  97.9130101           711485.347     3.381209189E+32 2.447808426E+29  0.00000000    
     104  117.496903           711450.615     3.380549004E+32 2.445982701E+29  0.00000000    
     105  140.997575           711408.939     3.379756957E+32 2.443793671E+29  0.00000000    
     106  169.198381           711358.931     3.378806751E+32 2.441169485E+29  0.00000000    
     107  203.039349           711298.927     3.377666866E+32 2.438024271E+29  0.00000000    
     108  243.648510           711226.929     3.376299524E+32 2.434255494E+29  0.00000000    
     109  292.379503           711140.543     3.374659464E+32 2.429740840E+29  0.00000000    
     110  350.856695           711036.894     3.372692471E+32 2.424334575E+29  0.00000000    
     111  421.029325           710912.538     3.370333633E+32 2.417863322E+29  0.00000000    
     112  505.236481           710763.342     3.367505261E+32 2.410121173E+29  0.00000000    
     113  606.285069           710584.353     3.364114430E+32 2.400864110E+29  0.00000000    
     114  727.543373           710369.632     3.360050059E+32 2.389803704E+29  0.00000000    
     115  873.053339           710112.061     3.355179466E+32 2.376600099E+29  0.00000000    
     116  1047.66530           709803.112     3.349344320E+32 2.360854384E+29  0.00000000    
     117  1257.19965           709432.570     3.342355898E+32 2.342100533E+29  0.00000000    
     118  1508.64087           708988.203     3.333989552E+32 2.319797260E+29  0.00000000    
     119  1810.37034           708455.369     3.323978324E+32 2.293320358E+29  0.00000000    
     120  2172.44569           707816.555     3.312005607E+32 2.261956413E+29  0.00000000    
     121  2606.93612           707050.822     3.297696826E+32 2.224899196E+29  0.00000000    
     122  3128.32464           706133.159     3.280610141E+32 2.181250607E+29  0.00000000    
     123  3753.99086           705033.714     3.260226249E+32 2.130028748E+29  0.00000000    
     124  4169.36289           704304.281     3.246754951E+32 2.096679385E+29  0.00000000    
     125  4446.27758           703818.204     3.237801219E+32 2.074732802E+29  0.00000000    
     126  4630.88737           703494.248     3.231844100E+32 2.060227642E+29  0.00000000    
     127  4753.96056           703278.319     3.227878029E+32 2.050613089E+29  0.00000000    
     128  4836.00936           703134.385     3.225236354E+32 2.044227959E+29  0.00000000    
     129  4890.70855           703038.438     3.223476291E+32 2.039982093E+29  0.00000000    
     130  4927.17469           702974.476     3.222303383E+32 2.037156343E+29  0.00000000    
     131  4951.48544           702931.837     3.221521653E+32 2.035274653E+29  0.00000000    
     132  4967.69261           702903.412     3.221000592E+32 2.034021144E+29  0.00000000    
     133  4978.49739           702884.462     3.220653259E+32 2.033185895E+29  0.00000000    
     134  4985.70058           702871.829     3.220421722E+32 2.032629249E+29  0.00000000    
     135  4990.50270           702863.407     3.220267372E+32 2.032258235E+29  0.00000000    
     136  4993.70412           702857.792     3.220164475E+32 2.032010930E+29  0.00000000    
     137  4995.83839           702854.049     3.220095879E+32 2.031846076E+29  0.00000000    
     138  4997.26125           702851.553     3.220050149E+32 2.031736181E+29  0.00000000    
     139  4998.20981           702849.890     3.220019663E+32 2.031662921E+29  0.00000000    
     140  4998.84219           702848.781     3.219999339E+32 2.031614082E+29  0.00000000    
     141  4999.26378           702848.041     3.219985790E+32 2.031581524E+29  0.00000000    
     142  4999.54484           702847.548     3.219976757E+32 2.031559818E+29  0.00000000    
     143  4999.73221           702847.220     3.219970735E+32 2.031545348E+29  0.00000000    
     144  4999.85712           702847.001     3.219966720E+32 2.031535702E+29  0.00000000    
     145  4999.94040           702846.855     3.219964044E+32 2.031529271E+29  0.00000000    
     146  4999.99591           702846.757     3.219962260E+32 2.031524983E+29  0.00000000    
     147  5000.03293           702846.692     3.219961070E+32 2.031522125E+29  0.00000000    
     148  5000.05760           702846.649     3.219960277E+32 2.031520219E+29  0.00000000    
     149  5000.07405           702846.620     3.219959749E+32 2.031518949E+29  0.00000000    
     150  5000.08502           702846.601     3.219959396E+32 2.031518102E+29  0.00000000    
     151  5000.09233           702846.588     3.219959161E+32 2.031517538E+29  0.00000000    
     152  5000.09720           702846.580     3.219959005E+32 2.031517161E+29  0.00000000    
     153  5000.10045           702846.574     3.219958900E+32 2.031516910E+29  0.00000000    
     154  5000.10262           702846.570     3.219958831E+32 2.031516743E+29  0.00000000    
     155  5000.10406           702846.568     3.219958784E+32 2.031516631E+29  0.00000000    
     156  5000.10502           702846.566     3.219958753E+32 2.031516557E+29  0.00000000    
     157  5000.10567           702846.565     3.219958733E+32 2.031516508E+29  0.00000000    
     158  5000.10609           702846.564     3.219958719E+32 2.031516475E+29  0.00000000    
