      PC            ROC          NC         R(KM)       M/MSOL       A(E58)     MPROP/MSOL     I(E45)        Z
  0.199526E+35 0.419408E+15 0.243065      12.8644     0.653183     0.812402E-01 0.695775     0.565969     0.846342E-01
  0.211349E+35 0.426756E+15 0.247168      12.8638     0.678971     0.845997E-01 0.724868     0.598092     0.884366E-01
  0.223872E+35 0.434247E+15 0.251340      12.8658     0.705572     0.880781E-01 0.755012     0.631858     0.923798E-01
  0.237137E+35 0.442247E+15 0.255576      12.8703     0.732945     0.916709E-01 0.786171     0.667250     0.964599E-01
  0.251189E+35 0.450395E+15 0.259884      12.8769     0.761049     0.953734E-01 0.818313     0.704248     0.100676    
  0.266073E+35 0.458693E+15 0.264265      12.8852     0.789882     0.991861E-01 0.851451     0.742878     0.105033    
  0.281838E+35 0.467143E+15 0.268719      12.8952     0.819439     0.103109     0.885595     0.783170     0.109534    
  0.298538E+35 0.475750E+15 0.273248      12.9065     0.849716     0.107144     0.920752     0.825148     0.114183    
  0.316228E+35 0.484514E+15 0.277854      12.9189     0.880703     0.111290     0.956929     0.868836     0.118983    
  0.334965E+35 0.493441E+15 0.282538      12.9323     0.912392     0.115547     0.994132     0.914253     0.123940    
  0.354813E+35 0.502531E+15 0.287300      12.9465     0.944769     0.119915      1.03236     0.961414     0.129057    
  0.375837E+35 0.511790E+15 0.292142      12.9612     0.977822     0.124393      1.07162      1.01033     0.134338    
  0.398107E+35 0.521218E+15 0.297067      12.9764      1.01153     0.128981      1.11191      1.06101     0.139787    
  0.421696E+35 0.530821E+15 0.302074      12.9919      1.04588     0.133678      1.15322      1.11345     0.145406    
  0.446684E+35 0.540600E+15 0.307165      13.0075      1.08085     0.138483      1.19555      1.16765     0.151202    
  0.473151E+35 0.550560E+15 0.312343      13.0231      1.11641     0.143393      1.23889      1.22360     0.157176    
  0.501187E+35 0.560703E+15 0.317607      13.0386      1.15254     0.148407      1.28322      1.28128     0.163334    
  0.530884E+35 0.571033E+15 0.322961      13.0538      1.18921     0.153524      1.32854      1.34066     0.169677    
  0.562341E+35 0.581553E+15 0.328404      13.0686      1.22639     0.158739      1.37482      1.40172     0.176211    
  0.595662E+35 0.592267E+15 0.333940      13.0829      1.26404     0.164052      1.42205      1.46443     0.182938    
  0.630957E+35 0.603178E+15 0.339569      13.0966      1.30213     0.169458      1.47021      1.52872     0.189862    
  0.668344E+35 0.614291E+15 0.345292      13.1095      1.34062     0.174953      1.51926      1.59457     0.196985    
  0.707946E+35 0.625608E+15 0.351112      13.1217      1.37947     0.180535      1.56918      1.66189     0.204310    
  0.749894E+35 0.637134E+15 0.357030      13.1330      1.41864     0.186200      1.61994      1.73063     0.211841    
  0.794328E+35 0.648872E+15 0.363048      13.1433      1.45808     0.191942      1.67151      1.80070     0.219580    
  0.841395E+35 0.663783E+15 0.370000      13.1523      1.49747     0.197714      1.72347      1.87146     0.227476    
  0.891251E+35 0.679052E+15 0.377089      13.1595      1.53647     0.203466      1.77540      1.94211     0.235478    
  0.944061E+35 0.694672E+15 0.384314      13.1647      1.57503     0.209188      1.82727      2.01242     0.243587    
  0.100000E+36 0.710651E+15 0.391677      13.1677      1.61313     0.214877      1.87904      2.08224     0.251808    
  0.105925E+36 0.726998E+15 0.399181      13.1685      1.65074     0.220527      1.93069      2.15141     0.260142    
  0.112202E+36 0.743722E+15 0.406830      13.1671      1.68783     0.226132      1.98217      2.21980     0.268592    
  0.118850E+36 0.760829E+15 0.414624      13.1633      1.72438     0.231689      2.03347      2.28727     0.277159    
  0.125893E+36 0.778330E+15 0.422568      13.1572      1.76035     0.237193      2.08455      2.35370     0.285846    
  0.133352E+36 0.796234E+15 0.430665      13.1488      1.79573     0.242639      2.13537      2.41896     0.294650    
  0.141254E+36 0.814550E+15 0.438916      13.1381      1.83047     0.248022      2.18590      2.48295     0.303575    
  0.149624E+36 0.833287E+15 0.447325      13.1250      1.86457     0.253339      2.23610      2.54555     0.312620    
  0.158489E+36 0.852455E+15 0.455896      13.1097      1.89799     0.258585      2.28595      2.60665     0.321784    
  0.167880E+36 0.872064E+15 0.464631      13.0922      1.93071     0.263755      2.33541      2.66616     0.331066    
