       0.300     145.000     150.000     313.005       Alpha_c    Bbag^1/4     Ms      Pr  ===>  E/A at P=0:     915.818


         nbar              rho           presion         ne            nu            nd            ns            mue           muu           mud           mus    
       [fm^-3]         [gm cm^-3]      [erg cm^-3]     [fm^-3]       [fm^-3]       [fm^-3]       [fm^-3]        [MeV]         [MeV]         [MeV]         [MeV]   

 4.77746330448E-01 8.10262863026E+14   1.01549E+35   5.45683E-06   4.77752E-01   5.22455E-01   4.33032E-01   1.07477E+01   3.55120E+02   3.65868E+02   3.65868E+02
 4.67392033206E-01 7.90325314691E+14   9.58765E+34   5.64940E-06   4.67398E-01   5.11990E-01   4.22788E-01   1.08726E+01   3.52536E+02   3.63408E+02   3.63408E+02
 4.57583328231E-01 7.71566581119E+14   9.05439E+34   5.84165E-06   4.57589E-01   5.02074E-01   4.13087E-01   1.09946E+01   3.50052E+02   3.61047E+02   3.61047E+02
 4.48287635815E-01 7.53905711823E+14   8.55278E+34   6.03333E-06   4.48294E-01   4.92673E-01   4.03896E-01   1.11135E+01   3.47666E+02   3.58779E+02   3.58779E+02
 4.39474677826E-01 7.37268298755E+14   8.08065E+34   6.22417E-06   4.39481E-01   4.83758E-01   3.95185E-01   1.12295E+01   3.45372E+02   3.56602E+02   3.56602E+02
 4.31116291056E-01 7.21585875756E+14   7.63599E+34   6.41394E-06   4.31123E-01   4.75300E-01   3.86926E-01   1.13425E+01   3.43169E+02   3.54511E+02   3.54511E+02
 4.23186257936E-01 7.06795379967E+14   7.21697E+34   6.60238E-06   4.23193E-01   4.67273E-01   3.79093E-01   1.14525E+01   3.41052E+02   3.52504E+02   3.52504E+02
 4.15660151627E-01 6.92838665921E+14   6.82189E+34   6.78927E-06   4.15667E-01   4.59652E-01   3.71661E-01   1.15596E+01   3.39018E+02   3.50578E+02   3.50578E+02
 4.08515195368E-01 6.79662069004E+14   6.44919E+34   6.97439E-06   4.08522E-01   4.52416E-01   3.64608E-01   1.16637E+01   3.37064E+02   3.48728E+02   3.48728E+02
 4.01730133464E-01 6.67216010592E+14   6.09743E+34   7.15754E-06   4.01737E-01   4.45542E-01   3.57911E-01   1.17649E+01   3.35188E+02   3.46953E+02   3.46953E+02
