       6    1350     635     783

     EOS file :  /home/forgane/Desktop/NSCool/EOS/DD2_HG_EOS_Acc_Fe.dat                

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.389664E-01   6.007299E+14    6.32326E+34   0.000000000E+00  -3.520467E-01   0.000000000E+00
     1       1.000000   3.389664E-01   6.007299E+14    6.32326E+34   1.265124133E-12  -3.520467E-01   1.195521557E-12
     2       1.016667   3.389664E-01   6.007299E+14    6.32326E+34   1.329440467E-12  -3.520467E-01   1.256299438E-12
     3       1.033611   3.389664E-01   6.007299E+14    6.32326E+34   1.397026513E-12  -3.520467E-01   1.320167142E-12
     4       1.050838   3.389664E-01   6.007299E+14    6.32326E+34   1.468048495E-12  -3.520467E-01   1.387281751E-12
     5       1.068352   3.389664E-01   6.007299E+14    6.32326E+34   1.542681091E-12  -3.520467E-01   1.457808330E-12
     6       1.086158   3.389664E-01   6.007299E+14    6.32326E+34   1.621107855E-12  -3.520467E-01   1.531920336E-12
     7       1.104260   3.389664E-01   6.007299E+14    6.32326E+34   1.703521677E-12  -3.520467E-01   1.609800046E-12
     8       1.122665   3.389664E-01   6.007299E+14    6.32326E+34   1.790125249E-12  -3.520467E-01   1.691639002E-12
     9       1.141376   3.389664E-01   6.007299E+14    6.32326E+34   1.881131571E-12  -3.520467E-01   1.777638483E-12
    10       1.160399   3.389664E-01   6.007299E+14    6.32326E+34   1.976764468E-12  -3.520467E-01   1.868010003E-12
    11       1.179739   3.389664E-01   6.007299E+14    6.32326E+34   2.077259148E-12  -3.520467E-01   1.962975827E-12
    12       1.199401   3.389664E-01   6.007299E+14    6.32326E+34   2.182862772E-12  -3.520467E-01   2.062769520E-12
    13       1.219391   3.389664E-01   6.007299E+14    6.32326E+34   2.293835069E-12  -3.520467E-01   2.167636521E-12
    14       1.239714   3.389664E-01   6.007299E+14    6.32326E+34   2.410448971E-12  -3.520467E-01   2.277834746E-12
    15       1.260376   3.389664E-01   6.007299E+14    6.32326E+34   2.532991287E-12  -3.520467E-01   2.393635225E-12
    16       1.281383   3.389664E-01   6.007299E+14    6.32326E+34   2.661763405E-12  -3.520467E-01   2.515322765E-12
    17       1.302739   3.389664E-01   6.007299E+14    6.32326E+34   2.797082034E-12  -3.520467E-01   2.643196651E-12
    18       1.324451   3.389664E-01   6.007299E+14    6.32326E+34   2.939279987E-12  -3.520467E-01   2.777571384E-12
    19       1.346525   3.389664E-01   6.007299E+14    6.32326E+34   3.088706995E-12  -3.520467E-01   2.918777456E-12
    20       1.368967   3.389664E-01   6.007299E+14    6.32326E+34   3.245730566E-12  -3.520467E-01   3.067162156E-12
    21       1.391784   3.389664E-01   6.007299E+14    6.32326E+34   3.410736897E-12  -3.520467E-01   3.223090433E-12
    22       1.414980   3.389664E-01   6.007299E+14    6.32326E+34   3.584131813E-12  -3.520467E-01   3.386945785E-12
    23       1.438563   3.389664E-01   6.007299E+14    6.32326E+34   3.766341773E-12  -3.520467E-01   3.559131209E-12
    24       1.462539   3.389664E-01   6.007299E+14    6.32326E+34   3.957814916E-12  -3.520467E-01   3.740070190E-12
    25       1.486915   3.389664E-01   6.007299E+14    6.32326E+34   4.159022163E-12  -3.520467E-01   3.930207740E-12
    26       1.511697   3.389664E-01   6.007299E+14    6.32326E+34   4.370458377E-12  -3.520467E-01   4.130011495E-12
    27       1.536892   3.389664E-01   6.007299E+14    6.32326E+34   4.592643578E-12  -3.520467E-01   4.339972866E-12
    28       1.562506   3.389664E-01   6.007299E+14    6.32326E+34   4.826124221E-12  -3.520467E-01   4.560608245E-12
    29       1.588548   3.389664E-01   6.007299E+14    6.32326E+34   5.071474544E-12  -3.520467E-01   4.792460278E-12
    30       1.615024   3.389664E-01   6.007299E+14    6.32326E+34   5.329297978E-12  -3.520467E-01   5.036099195E-12
    31       1.641941   3.389664E-01   6.007299E+14    6.32326E+34   5.600228629E-12  -3.520467E-01   5.292124218E-12
    32       1.669307   3.389664E-01   6.007299E+14    6.32326E+34   5.884932843E-12  -3.520467E-01   5.561165032E-12
    33       1.697129   3.389664E-01   6.007299E+14    6.32326E+34   6.184110838E-12  -3.520467E-01   5.843883333E-12
    34       1.725414   3.389664E-01   6.007299E+14    6.32326E+34   6.498498433E-12  -3.520467E-01   6.140974455E-12
    35       1.754171   3.389664E-01   6.007299E+14    6.32326E+34   6.828868853E-12  -3.520467E-01   6.453169085E-12
    36       1.783407   3.389664E-01   6.007299E+14    6.32326E+34   7.176034631E-12  -3.520467E-01   6.781235054E-12
    37       1.813131   3.389664E-01   6.007299E+14    6.32326E+34   7.540849610E-12  -3.520467E-01   7.125979228E-12
    38       1.843349   3.389664E-01   6.007299E+14    6.32326E+34   7.924211038E-12  -3.520467E-01   7.488249492E-12
    39       1.874072   3.389664E-01   6.007299E+14    6.32326E+34   8.327061781E-12  -3.520467E-01   7.868936839E-12
    40       1.905306   3.389664E-01   6.007299E+14    6.32326E+34   8.750392633E-12  -3.520467E-01   8.268977555E-12
    41       1.937061   3.389664E-01   6.007299E+14    6.32326E+34   9.195244763E-12  -3.520467E-01   8.689355524E-12
    42       1.969346   3.389664E-01   6.007299E+14    6.32326E+34   9.662712268E-12  -3.520467E-01   9.131104653E-12
    43       2.002168   3.389664E-01   6.007299E+14    6.32326E+34   1.015394487E-11  -3.520467E-01   9.595311407E-12
    44       2.035538   3.389664E-01   6.007299E+14    6.32326E+34   1.067015073E-11  -3.520467E-01   1.008311749E-11
    45       2.069463   3.389664E-01   6.007299E+14    6.32326E+34   1.121259945E-11  -3.520467E-01   1.059572263E-11
    46       2.103954   3.389664E-01   6.007299E+14    6.32326E+34   1.178262515E-11  -3.520467E-01   1.113438758E-11
    47       2.139020   3.389664E-01   6.007299E+14    6.32326E+34   1.238162980E-11  -3.520467E-01   1.170043715E-11
    48       2.174671   3.389664E-01   6.007299E+14    6.32326E+34   1.301108663E-11  -3.520467E-01   1.229526353E-11
    49       2.210915   3.389664E-01   6.007299E+14    6.32326E+34   1.367254375E-11  -3.520467E-01   1.292032967E-11
    50       2.247764   3.389664E-01   6.007299E+14    6.32326E+34   1.436762800E-11  -3.520467E-01   1.357717290E-11
    51       2.285226   3.389664E-01   6.007299E+14    6.32326E+34   1.509804893E-11  -3.520467E-01   1.426740870E-11
    52       2.323314   3.389664E-01   6.007299E+14    6.32326E+34   1.586560296E-11  -3.520467E-01   1.499273468E-11
    53       2.362035   3.389664E-01   6.007299E+14    6.32326E+34   1.667217787E-11  -3.520467E-01   1.575493475E-11
    54       2.401403   3.389664E-01   6.007299E+14    6.32326E+34   1.751975740E-11  -3.520467E-01   1.655588352E-11
    55       2.441426   3.389664E-01   6.007299E+14    6.32326E+34   1.841042615E-11  -3.520467E-01   1.739755089E-11
    56       2.482117   3.389664E-01   6.007299E+14    6.32326E+34   1.934637468E-11  -3.520467E-01   1.828200691E-11
    57       2.523485   3.389664E-01   6.007299E+14    6.32326E+34   2.032990493E-11  -3.520467E-01   1.921142687E-11
    58       2.565543   3.389664E-01   6.007299E+14    6.32326E+34   2.136343584E-11  -3.520467E-01   2.018809665E-11
    59       2.608302   3.389664E-01   6.007299E+14    6.32326E+34   2.244950936E-11  -3.520467E-01   2.121441833E-11
    60       2.651774   3.389664E-01   6.007299E+14    6.32326E+34   2.359079664E-11  -3.520467E-01   2.229291610E-11
    61       2.695970   3.389664E-01   6.007299E+14    6.32326E+34   2.479010463E-11  -3.520467E-01   2.342624250E-11
    62       2.740903   3.389664E-01   6.007299E+14    6.32326E+34   2.605038300E-11  -3.520467E-01   2.461718491E-11
    63       2.786585   3.389664E-01   6.007299E+14    6.32326E+34   2.737473134E-11  -3.520467E-01   2.586867239E-11
    64       2.833028   3.389664E-01   6.007299E+14    6.32326E+34   2.876640685E-11  -3.520467E-01   2.718378295E-11
    65       2.880245   3.389664E-01   6.007299E+14    6.32326E+34   3.022883230E-11  -3.520467E-01   2.856575104E-11
    66       2.928249   3.389664E-01   6.007299E+14    6.32326E+34   3.176560448E-11  -3.520467E-01   3.001797557E-11
    67       2.977053   3.389664E-01   6.007299E+14    6.32326E+34   3.338050301E-11  -3.520467E-01   3.154402822E-11
    68       3.026671   3.389664E-01   6.007299E+14    6.32326E+34   3.507749969E-11  -3.520467E-01   3.314766228E-11
    69       3.077115   3.389664E-01   6.007299E+14    6.32326E+34   3.686076821E-11  -3.520467E-01   3.483282182E-11
    70       3.128401   3.389664E-01   6.007299E+14    6.32326E+34   3.873469446E-11  -3.520467E-01   3.660365143E-11
    71       3.180541   3.389664E-01   6.007299E+14    6.32326E+34   4.070388730E-11  -3.520467E-01   3.846450641E-11
    72       3.233550   3.389664E-01   6.007299E+14    6.32326E+34   4.277318987E-11  -3.520467E-01   4.041996344E-11
    73       3.287442   3.389664E-01   6.007299E+14    6.32326E+34   4.494769156E-11  -3.520467E-01   4.247483192E-11
    74       3.342233   3.389664E-01   6.007299E+14    6.32326E+34   4.723274047E-11  -3.520467E-01   4.463416572E-11
    75       3.397937   3.389664E-01   6.007299E+14    6.32326E+34   4.963395659E-11  -3.520467E-01   4.690327563E-11
    76       3.454569   3.389664E-01   6.007299E+14    6.32326E+34   5.215724564E-11  -3.520467E-01   4.928774246E-11
